Risk_ID,Equipment_ID,Score_Date,Breakdown_Probability,Risk_Category
RSK-600041,EQ-1125,2023-05-15,0.8786,Critical
RSK-600042,EQ-1093,2023-09-21,0.25,Medium
RSK-600043,EQ-1045,2024-01-23,0.3992,Medium
RSK-600044,EQ-1073,2023-03-17,0.6533,High
RSK-600045,EQ-1104,2023-10-24,0.0139,Low
RSK-600046,EQ-1028,2023-06-03,0.1854,Low
RSK-600047,EQ-1002,2023-10-14,0.6168,High
RSK-600048,EQ-1035,2023-07-06,0.497,Medium
RSK-600049,EQ-1136,2023-03-28,0.3331,Medium
RSK-600050,EQ-1117,2024-01-06,0.69,High
RSK-600051,EQ-1054,2024-04-30,0.8897,Critical
RSK-600052,EQ-1107,2023-07-16,0.3607,Medium
RSK-600053,EQ-1120,2023-01-10,0.828,Critical
RSK-600054,EQ-1051,2023-05-31,0.2491,Low
RSK-600055,EQ-1102,2023-06-23,0.752,High
RSK-600056,EQ-1123,2023-02-11,0.7429,High
RSK-600057,EQ-1080,2023-06-21,0.8894,Critical
RSK-600058,EQ-1069,2023-01-04,0.2596,Medium
RSK-600059,EQ-1040,2023-09-04,0.0538,Low
RSK-600060,EQ-1131,2024-02-08,0.5647,High
RSK-600061,EQ-1135,2023-08-20,0.6792,High
RSK-600062,EQ-1143,2023-01-20,0.0749,Low
RSK-600063,EQ-1132,2023-07-29,0.4591,Medium
RSK-600064,EQ-1140,2024-05-14,0.4317,Medium
RSK-600065,EQ-1076,2024-05-15,0.5196,Medium
RSK-600066,EQ-1014,2024-01-08,0.25,Medium
RSK-600067,EQ-1035,2023-06-16,0.6098,High
RSK-600068,EQ-1008,2023-06-25,0.2236,Low
RSK-600069,EQ-1028,2024-03-27,0.7524,High
RSK-600070,EQ-1098,2023-04-11,0.0382,Low
RSK-600071,EQ-1074,2023-01-01,0.137,Low
RSK-600072,EQ-1073,2024-05-02,0.8166,Critical
RSK-600073,EQ-1123,2024-04-06,0.9326,Critical
RSK-600074,EQ-1145,2023-05-21,0.3216,Medium
RSK-600075,EQ-1128,2024-03-26,0.902,Critical
RSK-600076,EQ-1084,2023-04-28,0.5022,Medium
RSK-600077,EQ-1105,2023-01-06,0.6663,High
RSK-600078,EQ-1095,2023-03-30,0.1937,Low
RSK-600079,EQ-1082,2023-04-13,0.5651,High
RSK-600080,EQ-1083,2024-02-26,0.4833,Medium
RSK-600081,EQ-1106,2023-08-27,0.7107,High
RSK-600082,EQ-1078,2023-11-23,0.9542,Critical
RSK-600083,EQ-1040,2024-04-09,0.8001,Critical
RSK-600084,EQ-1005,2023-04-25,0.8498,Critical
RSK-600085,EQ-1101,2023-08-20,0.8992,Critical
RSK-600086,EQ-1031,2023-09-13,0.734,High
RSK-600087,EQ-1057,2023-12-28,0.8067,Critical
RSK-600088,EQ-1094,2023-09-02,0.0879,Low
RSK-600089,EQ-1020,2023-09-21,0.8163,Critical
RSK-600090,EQ-1126,2023-08-22,0.3108,Medium
RSK-600091,EQ-1097,2023-06-11,0.5997,High
RSK-600092,EQ-1079,2023-04-27,0.1827,Low
RSK-600093,EQ-1017,2023-09-02,0.1058,Low
RSK-600094,EQ-1028,2023-02-08,0.1926,Low
RSK-600095,EQ-1014,2024-01-16,0.078,Low
RSK-600096,EQ-1058,2024-01-05,0.6448,High
RSK-600097,EQ-1037,2024-03-08,0.763,High
RSK-600098,EQ-1097,2023-01-31,0.8522,Critical
RSK-600099,EQ-1077,2023-07-24,0.9284,Critical
RSK-600100,EQ-1031,2023-08-20,0.0128,Low
RSK-600101,EQ-1063,2023-07-26,0.2476,Low
RSK-600102,EQ-1108,2024-02-15,0.5777,High
RSK-600103,EQ-1109,2023-11-08,0.4423,Medium
RSK-600104,EQ-1115,2024-01-16,0.25,Medium
RSK-600105,EQ-1117,2024-01-10,0.2084,Low
RSK-600106,EQ-1135,2023-05-05,0.9085,Critical
RSK-600107,EQ-1121,2024-03-15,0.1609,Low
RSK-600108,EQ-1037,2023-05-05,0.9329,Critical
RSK-600109,EQ-1063,2023-01-15,0.9418,Critical
RSK-600110,EQ-1146,2023-01-31,0.0801,Low
RSK-600111,EQ-1018,2024-05-09,0.25,Medium
RSK-600112,EQ-1012,2023-06-28,0.1885,Low
RSK-600113,EQ-1063,2023-10-12,0.6799,High
RSK-600114,EQ-1002,2024-03-08,0.4184,Medium
RSK-600115,EQ-1145,2023-08-13,0.6004,High
RSK-600116,EQ-1084,2023-11-13,0.3994,Medium
RSK-600117,EQ-1101,2023-06-22,0.3563,Medium
RSK-600118,EQ-1042,2024-02-03,0.5293,Medium
RSK-600119,EQ-1002,2023-10-08,0.3181,Medium
RSK-600120,EQ-1148,2023-06-23,0.2701,Medium
RSK-600121,EQ-1111,2023-05-01,0.4839,Medium
RSK-600122,EQ-1131,2023-04-24,0.3357,Medium
RSK-600123,EQ-1008,2023-07-21,0.9154,Critical
RSK-600124,EQ-1027,2024-03-28,0.0568,Low
RSK-600125,EQ-1149,2023-09-14,0.9069,Critical
RSK-600126,EQ-1083,2023-04-01,0.8512,Critical
RSK-600127,EQ-1122,2023-08-01,0.7357,High
RSK-600128,EQ-1138,2023-12-29,0.0196,Low
RSK-600129,EQ-1067,2024-03-20,0.9081,Critical
RSK-600130,EQ-1068,2023-04-20,0.7363,High
RSK-600131,EQ-1067,2023-03-06,0.2237,Low
RSK-600132,EQ-1083,2024-01-05,0.25,Medium
RSK-600133,EQ-1131,2023-02-26,0.7753,High
RSK-600134,EQ-1074,2023-10-06,0.5976,High
RSK-600135,EQ-1101,2024-03-27,0.0904,Low
RSK-600136,EQ-1093,2023-10-30,0.284,Medium
RSK-600137,EQ-1061,2023-05-23,0.905,Critical
RSK-600138,EQ-1124,2023-03-09,0.9351,Critical
RSK-600139,EQ-1113,2023-04-11,0.25,Medium
RSK-600140,EQ-1141,2023-07-11,0.7099,High
RSK-600141,EQ-1017,2023-12-10,0.0498,Low
RSK-600142,EQ-1014,2023-07-18,0.3104,Medium
RSK-600143,EQ-1087,2023-10-08,0.6029,High
RSK-600144,EQ-1112,2023-03-25,0.346,Medium
RSK-600145,EQ-1125,2023-08-01,0.5661,High
RSK-600146,EQ-1127,2023-09-14,0.2836,Medium
RSK-600147,EQ-1023,2023-10-09,0.3042,Medium
RSK-600148,EQ-1092,2023-04-27,0.8552,Critical
RSK-600149,EQ-1113,2023-03-29,0.1609,Low
RSK-600150,EQ-1014,2023-11-08,0.6807,High
RSK-600151,EQ-1105,2023-11-20,0.605,High
RSK-600152,EQ-1039,2023-10-03,0.25,Medium
RSK-600153,EQ-1123,2024-01-08,0.459,Medium
RSK-600154,EQ-1133,2023-09-26,0.5292,Medium
RSK-600155,EQ-1139,2023-12-29,0.1712,Low
RSK-600156,EQ-1117,2023-10-28,0.3644,Medium
RSK-600157,EQ-1036,2024-05-10,0.5886,High
RSK-600158,EQ-1107,2023-06-19,0.1977,Low
RSK-600159,EQ-1104,2023-08-25,0.6105,High
RSK-600160,EQ-1125,2023-04-28,0.2113,Low
RSK-600161,EQ-1146,2023-02-18,0.7583,High
RSK-600162,EQ-1038,2024-02-17,0.1118,Low
RSK-600163,EQ-1028,2023-10-14,0.8058,Critical
RSK-600164,EQ-1059,2024-03-10,0.5119,Medium
RSK-600165,EQ-1010,2023-07-05,0.0253,Low
RSK-600166,EQ-1049,2023-06-24,0.6567,High
RSK-600167,EQ-1069,2023-05-07,0.0408,Low
RSK-600168,EQ-1137,2023-10-16,0.25,Medium
RSK-600169,EQ-1115,2024-03-03,0.1827,Low
RSK-600170,EQ-1117,2023-05-25,0.4828,Medium
RSK-600171,EQ-1035,2023-08-31,0.2632,Medium
RSK-600172,EQ-1146,2023-02-03,0.1868,Low
RSK-600173,EQ-1143,2023-04-29,0.8182,Critical
RSK-600174,EQ-1083,2023-03-03,0.5336,Medium
RSK-600175,EQ-1034,2024-02-28,0.8946,Critical
RSK-600176,EQ-1130,2024-01-26,0.7669,High
RSK-600177,EQ-1065,2023-09-28,0.3502,Medium
RSK-600178,EQ-1050,2023-09-27,0.5505,High
RSK-600179,EQ-1122,2023-03-19,0.7781,High
RSK-600180,EQ-1096,2023-02-23,0.7832,High
RSK-600181,EQ-1148,2024-04-18,0.9771,Critical
RSK-600182,EQ-1102,2023-09-28,0.6987,High
RSK-600183,EQ-1088,2023-05-16,0.8305,Critical
RSK-600184,EQ-1030,2023-02-13,0.7429,High
RSK-600185,EQ-1127,2023-07-22,0.4438,Medium
RSK-600186,EQ-1066,2023-10-21,0.6224,High
RSK-600187,EQ-1023,2023-07-27,0.4833,Medium
RSK-600188,EQ-1020,2024-01-31,0.1853,Low
RSK-600189,EQ-1112,2023-08-09,0.9319,Critical
RSK-600190,EQ-1062,2024-04-07,0.5883,High
RSK-600191,EQ-1012,2023-02-27,0.8413,Critical
RSK-600192,EQ-1091,2023-09-07,0.02,Low
RSK-600193,EQ-1091,2023-03-17,0.0907,Low
RSK-600194,EQ-1025,2023-04-13,0.2158,Low
RSK-600195,EQ-1124,2023-06-10,0.8509,Critical
RSK-600196,EQ-1074,2023-07-29,0.8234,Critical
RSK-600197,EQ-1097,2023-06-13,0.3041,Medium
RSK-600198,EQ-1015,2024-03-29,0.4014,Medium
RSK-600199,EQ-1100,2024-02-17,0.9499,Critical
RSK-600200,EQ-1015,2023-08-13,0.25,Medium
RSK-600201,EQ-1029,2023-09-20,0.3105,Medium
RSK-600202,EQ-1041,2023-02-06,0.25,Medium
RSK-600203,EQ-1000,2023-10-29,0.9636,Critical
RSK-600204,EQ-1023,2023-07-22,0.8065,Critical
RSK-600205,EQ-1078,2023-04-18,0.0977,Low
RSK-600206,EQ-1057,2023-06-16,0.326,Medium
RSK-600207,EQ-1032,2023-06-01,0.25,Medium
RSK-600208,EQ-1087,2023-10-12,0.5767,High
RSK-600209,EQ-1053,2023-12-21,0.5197,Medium
RSK-600210,EQ-1022,2023-12-16,0.9135,Critical
RSK-600211,EQ-1035,2024-02-19,0.4028,Medium
RSK-600212,EQ-1069,2023-08-14,0.05,Low
RSK-600213,EQ-1017,2023-12-13,0.7803,High
RSK-600214,EQ-1014,2023-03-07,0.8717,Critical
RSK-600215,EQ-1139,2024-02-08,0.676,High
RSK-600216,EQ-1148,2023-09-12,0.5907,High
RSK-600217,EQ-1004,2023-11-03,0.187,Low
RSK-600218,EQ-1033,2024-03-11,0.5602,High
RSK-600219,EQ-1100,2023-10-21,0.7884,High
RSK-600220,EQ-1041,2024-03-19,0.0716,Low
RSK-600221,EQ-1072,2023-11-15,0.3723,Medium
RSK-600222,EQ-1146,2024-02-08,0.36,Medium
RSK-600223,EQ-1076,2023-08-02,0.25,Medium
RSK-600224,EQ-1025,2023-02-18,0.318,Medium
RSK-600225,EQ-1056,2024-01-06,0.243,Low
RSK-600226,EQ-1112,2023-06-11,0.1894,Low
RSK-600227,EQ-1090,2024-03-02,0.091,Low
RSK-600228,EQ-1091,2024-02-11,0.7089,High
RSK-600229,EQ-1136,2023-06-26,0.9044,Critical
RSK-600230,EQ-1068,2024-02-19,0.1986,Low
RSK-600231,EQ-1030,2023-05-18,0.7857,High
RSK-600232,EQ-1055,2023-10-23,0.7018,High
RSK-600233,EQ-1014,2024-01-28,0.8592,Critical
RSK-600234,EQ-1122,2023-02-01,0.203,Low
RSK-600235,EQ-1093,2024-03-06,0.0159,Low
RSK-600236,EQ-1063,2023-06-15,0.0384,Low
RSK-600237,EQ-1130,2024-04-13,0.0994,Low
RSK-600238,EQ-1064,2023-07-06,0.9355,Critical
RSK-600239,EQ-1048,2023-01-27,0.5392,Medium
RSK-600240,EQ-1015,2024-01-12,0.6982,High
RSK-600241,EQ-1022,2023-03-14,0.1387,Low
RSK-600242,EQ-1135,2023-05-20,0.3905,Medium
RSK-600243,EQ-1126,2023-05-08,0.5683,High
RSK-600244,EQ-1074,2023-10-20,0.4487,Medium
RSK-600245,EQ-1045,2023-06-06,0.4036,Medium
RSK-600246,EQ-1031,2024-04-12,0.7313,High
RSK-600247,EQ-1051,2023-02-01,0.1812,Low
RSK-600248,EQ-1141,2024-02-21,0.3902,Medium
RSK-600249,EQ-1097,2024-02-09,0.9008,Critical
RSK-600250,EQ-1072,2023-01-29,0.7594,High
RSK-600251,EQ-1053,2024-01-14,0.2369,Low
RSK-600252,EQ-1073,2024-01-07,0.4254,Medium
RSK-600253,EQ-1027,2023-09-08,0.6209,High
RSK-600254,EQ-1092,2023-04-27,0.4429,Medium
RSK-600255,EQ-1118,2023-10-19,0.9623,Critical
RSK-600256,EQ-1115,2023-11-19,0.2877,Medium
RSK-600257,EQ-1059,2023-02-15,0.3171,Medium
RSK-600258,EQ-1125,2023-12-12,0.0275,Low
RSK-600259,EQ-1005,2023-01-11,0.23,Low
RSK-600260,EQ-1120,2023-07-22,0.2881,Medium
RSK-600261,EQ-1078,2024-04-12,0.6156,High
RSK-600262,EQ-1026,2024-01-10,0.8947,Critical
RSK-600263,EQ-1080,2023-01-09,0.5348,Medium
RSK-600264,EQ-1082,2023-04-07,0.7086,High
RSK-600265,EQ-1061,2023-06-16,0.25,Medium
RSK-600266,EQ-1003,2023-08-10,0.7303,High
RSK-600267,EQ-1039,2024-03-02,0.5469,Medium
RSK-600268,EQ-1033,2024-04-14,0.113,Low
RSK-600269,EQ-1106,2023-11-02,0.4888,Medium
RSK-600270,EQ-1120,2023-02-10,0.5259,Medium
RSK-600271,EQ-1141,2023-07-23,0.5501,High
RSK-600272,EQ-1121,2023-09-24,0.641,High
RSK-600273,EQ-1129,2023-12-15,0.7021,High
RSK-600274,EQ-1050,2023-09-17,0.1629,Low
RSK-600275,EQ-1068,2023-07-12,0.8898,Critical
RSK-600276,EQ-1106,2024-04-19,0.6423,High
RSK-600277,EQ-1034,2023-05-20,0.9481,Critical
RSK-600278,EQ-1078,2023-07-29,0.0315,Low
RSK-600279,EQ-1093,2023-11-04,0.7618,High
RSK-600280,EQ-1022,2023-08-11,0.9364,Critical
RSK-600281,EQ-1020,2023-09-07,0.5849,High
RSK-600282,EQ-1010,2023-03-01,0.0334,Low
RSK-600283,EQ-1047,2024-04-24,0.686,High
RSK-600284,EQ-1130,2024-04-05,0.2026,Low
RSK-600285,EQ-1015,2024-02-14,0.8301,Critical
RSK-600286,EQ-1112,2023-12-27,0.3113,Medium
RSK-600287,EQ-1122,2023-11-17,0.952,Critical
RSK-600288,EQ-1023,2023-03-09,0.7621,High
RSK-600289,EQ-1021,2023-12-18,0.149,Low
RSK-600290,EQ-1071,2024-04-20,0.3452,Medium
RSK-600291,EQ-1042,2023-06-27,0.512,Medium
RSK-600292,EQ-1057,2024-01-02,0.2013,Low
RSK-600293,EQ-1047,2024-03-15,0.9,Critical
RSK-600294,EQ-1018,2024-05-10,0.0665,Low
RSK-600295,EQ-1089,2024-05-06,0.4433,Medium
RSK-600296,EQ-1085,2023-08-24,0.0177,Low
RSK-600297,EQ-1123,2024-02-26,0.872,Critical
RSK-600298,EQ-1069,2023-02-03,0.3799,Medium
RSK-600299,EQ-1032,2023-10-13,0.4401,Medium
RSK-600300,EQ-1115,2023-01-27,0.9243,Critical
RSK-600301,EQ-1036,2023-08-04,0.7655,High
RSK-600302,EQ-1098,2023-08-01,0.0695,Low
RSK-600303,EQ-1106,2023-09-22,0.3885,Medium
RSK-600304,EQ-1027,2023-10-06,0.2719,Medium
RSK-600305,EQ-1097,2024-03-07,0.1747,Low
RSK-600306,EQ-1066,2024-01-27,0.4545,Medium
RSK-600307,EQ-1020,2023-02-22,0.574,High
RSK-600308,EQ-1033,2023-07-29,0.351,Medium
RSK-600309,EQ-1051,2023-01-14,0.4412,Medium
RSK-600310,EQ-1115,2024-01-30,0.8672,Critical
RSK-600311,EQ-1082,2024-04-07,0.4765,Medium
RSK-600312,EQ-1085,2023-07-01,0.5161,Medium
RSK-600313,EQ-1035,2024-03-27,0.9142,Critical
RSK-600314,EQ-1040,2023-08-28,0.4847,Medium
RSK-600315,EQ-1031,2024-03-26,0.7564,High
RSK-600316,EQ-1080,2023-02-09,0.6675,High
RSK-600317,EQ-1124,2023-01-21,0.25,Medium
RSK-600318,EQ-1069,2023-10-07,0.4317,Medium
RSK-600319,EQ-1132,2023-12-21,0.25,Medium
RSK-600320,EQ-1103,2023-08-13,0.1233,Low
RSK-600321,EQ-1088,2023-08-02,0.0645,Low
RSK-600322,EQ-1137,2023-09-10,0.1853,Low
RSK-600323,EQ-1046,2023-07-03,0.983,Critical
RSK-600324,EQ-1100,2024-04-18,0.9677,Critical
RSK-600325,EQ-1135,2023-03-05,0.7633,High
RSK-600326,EQ-1031,2023-05-09,0.0606,Low
RSK-600327,EQ-1008,2024-01-08,0.9652,Critical
RSK-600328,EQ-1130,2023-02-09,0.4293,Medium
RSK-600329,EQ-1030,2023-03-08,0.6214,High
RSK-600330,EQ-1117,2024-02-11,0.25,Medium
RSK-600331,EQ-1126,2023-04-20,0.7405,High
RSK-600332,EQ-1039,2023-05-09,0.7513,High
RSK-600333,EQ-1008,2024-02-08,0.9671,Critical
RSK-600334,EQ-1039,2023-05-12,0.25,Medium
RSK-600335,EQ-1009,2023-12-19,0.574,High
RSK-600336,EQ-1025,2023-05-08,0.0565,Low
RSK-600337,EQ-1138,2024-05-02,0.5546,High
RSK-600338,EQ-1059,2023-08-31,0.9668,Critical
RSK-600339,EQ-1038,2024-04-26,0.8094,Critical
RSK-600340,EQ-1017,2024-04-05,0.189,Low
RSK-600341,EQ-1033,2023-12-07,0.9458,Critical
RSK-600342,EQ-1081,2023-05-10,0.3466,Medium
RSK-600343,EQ-1013,2023-02-24,0.25,Medium
RSK-600344,EQ-1016,2024-01-20,0.1215,Low
RSK-600345,EQ-1056,2023-12-09,0.9467,Critical
RSK-600346,EQ-1115,2023-09-16,0.9331,Critical
RSK-600347,EQ-1109,2023-12-11,0.3991,Medium
RSK-600348,EQ-1044,2024-04-17,0.5654,High
RSK-600349,EQ-1067,2023-09-20,0.3674,Medium
RSK-600350,EQ-1061,2024-05-03,0.3462,Medium
RSK-600351,EQ-1126,2023-10-04,0.6292,High
RSK-600352,EQ-1148,2023-10-27,0.1659,Low
RSK-600353,EQ-1060,2023-09-25,0.4281,Medium
RSK-600354,EQ-1076,2023-03-30,0.4575,Medium
RSK-600355,EQ-1066,2023-11-19,0.1618,Low
RSK-600356,EQ-1079,2023-02-15,0.717,High
RSK-600357,EQ-1089,2023-04-17,0.7444,High
RSK-600358,EQ-1108,2024-03-12,0.3648,Medium
RSK-600359,EQ-1105,2024-05-02,0.8499,Critical
RSK-600360,EQ-1001,2023-03-14,0.4854,Medium
RSK-600361,EQ-1085,2023-10-10,0.0692,Low
RSK-600362,EQ-1015,2023-03-18,0.854,Critical
RSK-600363,EQ-1104,2023-09-02,0.6248,High
RSK-600364,EQ-1001,2024-04-15,0.8667,Critical
RSK-600365,EQ-1123,2023-01-19,0.0768,Low
RSK-600366,EQ-1123,2024-04-09,0.7506,High
RSK-600367,EQ-1080,2024-03-07,0.25,Medium
RSK-600368,EQ-1069,2024-01-15,0.775,High
RSK-600369,EQ-1052,2024-02-15,0.4474,Medium
RSK-600370,EQ-1144,2023-04-25,0.274,Medium
RSK-600371,EQ-1085,2023-12-07,0.3278,Medium
RSK-600372,EQ-1048,2023-02-14,0.9381,Critical
RSK-600373,EQ-1126,2024-02-10,0.9798,Critical
RSK-600374,EQ-1124,2024-03-11,0.8736,Critical
RSK-600375,EQ-1100,2023-10-20,0.8882,Critical
RSK-600376,EQ-1116,2023-10-22,0.7459,High
RSK-600377,EQ-1032,2024-02-04,0.2471,Low
RSK-600378,EQ-1013,2023-10-01,0.7743,High
RSK-600379,EQ-1056,2023-11-28,0.8362,Critical
RSK-600380,EQ-1004,2023-06-29,0.0721,Low
RSK-600381,EQ-1113,2023-12-20,0.274,Medium
RSK-600382,EQ-1067,2024-03-15,0.1729,Low
RSK-600383,EQ-1042,2023-05-10,0.25,Medium
RSK-600384,EQ-1111,2024-03-08,0.7095,High
RSK-600385,EQ-1005,2024-02-03,0.989,Critical
RSK-600386,EQ-1103,2023-05-10,0.25,Medium
RSK-600387,EQ-1067,2023-07-16,0.5264,Medium
RSK-600388,EQ-1108,2023-07-28,0.0207,Low
RSK-600389,EQ-1052,2023-04-11,0.8456,Critical
RSK-600390,EQ-1120,2023-07-08,0.4579,Medium
RSK-600391,EQ-1012,2023-08-25,0.4457,Medium
RSK-600392,EQ-1090,2023-10-04,0.1178,Low
RSK-600393,EQ-1023,2023-03-15,0.5102,Medium
RSK-600394,EQ-1085,2023-03-20,0.9837,Critical
RSK-600395,EQ-1134,2023-12-08,0.223,Low
RSK-600396,EQ-1140,2023-09-16,0.6932,High
RSK-600397,EQ-1104,2023-03-05,0.1216,Low
RSK-600398,EQ-1052,2023-10-29,0.2763,Medium
RSK-600399,EQ-1073,2023-01-30,0.8747,Critical
RSK-600400,EQ-1020,2023-07-25,0.6567,High
RSK-600401,EQ-1083,2024-04-28,0.3623,Medium
RSK-600402,EQ-1141,2023-01-29,0.5115,Medium
RSK-600403,EQ-1018,2024-01-23,0.6956,High
RSK-600404,EQ-1102,2023-11-02,0.9003,Critical
RSK-600405,EQ-1038,2024-01-22,0.9619,Critical
RSK-600406,EQ-1116,2024-01-28,0.0371,Low
RSK-600407,EQ-1026,2024-01-31,0.6712,High
RSK-600408,EQ-1090,2023-04-19,0.932,Critical
RSK-600409,EQ-1083,2023-03-10,0.0699,Low
RSK-600410,EQ-1006,2024-04-14,0.5655,High
RSK-600411,EQ-1049,2023-02-13,0.7756,High
RSK-600412,EQ-1008,2023-10-21,0.6322,High
RSK-600413,EQ-1062,2023-04-12,0.9145,Critical
RSK-600414,EQ-1099,2024-02-13,0.6171,High
RSK-600415,EQ-1115,2023-04-22,0.321,Medium
RSK-600416,EQ-1023,2023-01-17,0.5189,Medium
RSK-600417,EQ-1002,2023-07-24,0.5952,High
RSK-600418,EQ-1128,2024-01-25,0.2052,Low
RSK-600419,EQ-1031,2023-11-05,0.3034,Medium
RSK-600420,EQ-1071,2024-03-22,0.8103,Critical
RSK-600421,EQ-1040,2023-05-03,0.1785,Low
RSK-600422,EQ-1044,2023-06-01,0.3515,Medium
RSK-600423,EQ-1083,2023-12-25,0.1016,Low
RSK-600424,EQ-1040,2024-05-15,0.3632,Medium
RSK-600425,EQ-1142,2024-01-26,0.3577,Medium
RSK-600426,EQ-1133,2023-08-14,0.0971,Low
RSK-600427,EQ-1104,2023-11-21,0.8031,Critical
RSK-600428,EQ-1007,2023-03-06,0.2244,Low
RSK-600429,EQ-1108,2023-10-05,0.8995,Critical
RSK-600430,EQ-1026,2024-05-11,0.9397,Critical
RSK-600431,EQ-1139,2023-04-30,0.7182,High
RSK-600432,EQ-1127,2024-02-04,0.7357,High
RSK-600433,EQ-1025,2023-03-15,0.9518,Critical
RSK-600434,EQ-1002,2023-05-24,0.0265,Low
RSK-600435,EQ-1044,2023-09-12,0.1132,Low
RSK-600436,EQ-1135,2023-03-04,0.3149,Medium
RSK-600437,EQ-1059,2023-04-16,0.2078,Low
RSK-600438,EQ-1012,2023-01-18,0.4018,Medium
RSK-600439,EQ-1021,2024-03-16,0.6066,High
RSK-600440,EQ-1066,2023-02-21,0.25,Medium
RSK-600441,EQ-1013,2023-07-19,0.1208,Low
RSK-600442,EQ-1119,2024-02-21,0.2085,Low
RSK-600443,EQ-1012,2024-01-05,0.4079,Medium
RSK-600444,EQ-1097,2023-02-08,0.7147,High
RSK-600445,EQ-1019,2023-06-10,0.3585,Medium
RSK-600446,EQ-1009,2023-09-23,0.8651,Critical
RSK-600447,EQ-1119,2023-05-09,0.086,Low
RSK-600448,EQ-1147,2023-05-30,0.1624,Low
RSK-600449,EQ-1051,2024-01-07,0.9782,Critical
RSK-600450,EQ-1002,2023-04-08,0.0832,Low
RSK-600451,EQ-1099,2024-04-23,0.2299,Low
RSK-600452,EQ-1075,2023-05-10,0.644,High
RSK-600453,EQ-1111,2023-04-26,0.7704,High
RSK-600454,EQ-1107,2023-04-04,0.6235,High
RSK-600455,EQ-1106,2023-04-15,0.9626,Critical
RSK-600456,EQ-1099,2024-02-25,0.922,Critical
RSK-600457,EQ-1052,2024-04-02,0.6247,High
RSK-600458,EQ-1053,2023-06-20,0.6987,High
RSK-600459,EQ-1042,2023-08-23,0.2665,Medium
RSK-600460,EQ-1134,2024-03-15,0.25,Medium
RSK-600461,EQ-1101,2023-07-31,0.7764,High
RSK-600462,EQ-1011,2024-04-19,0.8746,Critical
RSK-600463,EQ-1104,2023-06-13,0.3579,Medium
RSK-600464,EQ-1146,2023-03-26,0.6234,High
RSK-600465,EQ-1068,2023-05-26,0.7334,High
RSK-600466,EQ-1017,2023-08-20,0.3011,Medium
RSK-600467,EQ-1076,2024-01-20,0.1891,Low
RSK-600468,EQ-1061,2023-10-11,0.8853,Critical
RSK-600469,EQ-1139,2024-02-17,0.0827,Low
RSK-600470,EQ-1014,2023-12-03,0.6205,High
RSK-600471,EQ-1137,2024-03-02,0.8799,Critical
RSK-600472,EQ-1121,2024-04-21,0.25,Medium
RSK-600473,EQ-1009,2024-03-25,0.6498,High
RSK-600474,EQ-1054,2023-02-15,0.4623,Medium
RSK-600475,EQ-1130,2023-06-26,0.0635,Low
RSK-600476,EQ-1000,2023-09-24,0.9087,Critical
RSK-600477,EQ-1103,2023-05-30,0.0327,Low
RSK-600478,EQ-1033,2023-09-27,0.6768,High
