Fuel_ID,Equipment_ID,Usage_Date,Fuel_Liters
FUEL-200223,EQ-1016,2024-04-02,118.66
FUEL-200224,EQ-1091,2024-03-22,163.41
FUEL-200225,EQ-1082,2023-06-04,39.27
FUEL-200226,EQ-1101,2024-04-17,142.46
FUEL-200227,EQ-1010,2023-03-30,109.53
FUEL-200228,EQ-1025,2024-01-23,170.34
FUEL-200229,EQ-1050,2023-02-24,166.91
FUEL-200230,EQ-1111,2023-02-26,31.58
FUEL-200231,EQ-1002,2023-06-13,129.57
FUEL-200232,EQ-1060,2023-07-15,139.23
FUEL-200233,EQ-1095,2024-05-08,113.14
FUEL-200234,EQ-1000,2023-12-06,177.68
FUEL-200235,EQ-1013,2023-05-20,32.44
FUEL-200236,EQ-1096,2024-03-31,107.1
FUEL-200238,EQ-1088,2023-05-07,153.26
FUEL-200239,EQ-1111,2023-02-27,52.4
FUEL-200240,EQ-1119,2023-03-06,119.32
FUEL-200241,EQ-1148,2023-05-31,79.73
FUEL-200242,EQ-1104,2023-12-13,101.27
FUEL-200243,EQ-1048,2023-03-01,162.52
FUEL-200244,EQ-1079,2023-04-14,158.79
FUEL-200245,EQ-1118,2024-03-27,147.14
FUEL-200246,EQ-1147,2023-03-17,82.15
FUEL-200247,EQ-1107,2023-07-27,87.14
FUEL-200248,EQ-1054,2024-05-09,167.67
FUEL-200249,EQ-1012,2023-08-06,58.51
FUEL-200250,EQ-1105,2023-05-01,70.03
FUEL-200251,EQ-1070,2023-03-04,29.05
FUEL-200252,EQ-1144,2023-12-27,176.5
FUEL-200253,EQ-1008,2023-10-24,172.09
FUEL-200254,EQ-1126,2023-05-14,96.5
FUEL-200255,EQ-1094,2023-03-23,18.26
FUEL-200256,EQ-1094,2023-05-09,174.18
FUEL-200257,EQ-1113,2023-10-20,80.21
FUEL-200258,EQ-1090,2024-01-28,151.38
FUEL-200259,EQ-1058,2023-05-24,96.5
FUEL-200260,EQ-1030,2023-12-31,111.94
FUEL-200261,EQ-1081,2023-02-15,96.5
FUEL-200262,EQ-1045,2023-10-27,163.97
FUEL-200263,EQ-1114,2023-04-01,94.46
FUEL-200264,EQ-1048,2023-12-22,142.05
FUEL-200265,EQ-1080,2023-07-12,150.85
FUEL-200266,EQ-1062,2024-02-02,83.37
FUEL-200267,EQ-1016,2023-10-20,37.75
FUEL-200268,EQ-1022,2023-04-17,96.5
FUEL-200269,EQ-1065,2023-12-05,108.38
FUEL-200270,EQ-1074,2024-04-19,47.08
FUEL-200271,EQ-1072,2024-01-03,131.08
FUEL-200272,EQ-1116,2023-02-26,41.33
FUEL-200273,EQ-1098,2023-10-12,51.26
FUEL-200274,EQ-1135,2024-04-20,147.92
FUEL-200275,EQ-1006,2023-10-06,106.92
FUEL-200276,EQ-1102,2023-10-23,145.86
FUEL-200277,EQ-1115,2023-11-08,164.08
FUEL-200278,EQ-1048,2023-06-28,176.66
FUEL-200280,EQ-1014,2023-04-26,96.5
FUEL-200281,EQ-1011,2023-11-04,101.0
FUEL-200282,EQ-1096,2023-11-12,152.25
FUEL-200283,EQ-1006,2023-07-16,78.36
FUEL-200284,EQ-1081,2024-02-24,96.5
FUEL-200285,EQ-1045,2023-12-21,173.87
FUEL-200286,EQ-1092,2023-10-08,33.46
FUEL-200287,EQ-1093,2023-12-14,15.65
FUEL-200288,EQ-1069,2023-01-30,17.3
FUEL-200289,EQ-1048,2023-12-14,24.02
FUEL-200290,EQ-1088,2024-02-03,27.28
FUEL-200291,EQ-1053,2023-01-04,95.32
FUEL-200292,EQ-1130,2024-01-26,113.25
FUEL-200293,EQ-1114,2023-06-17,121.19
FUEL-200294,EQ-1126,2024-01-26,18.81
FUEL-200295,EQ-1046,2023-03-23,43.76
FUEL-200296,EQ-1042,2023-09-08,161.94
FUEL-200297,EQ-1088,2023-10-15,41.34
FUEL-200298,EQ-1148,2024-05-03,136.1
FUEL-200299,EQ-1077,2024-03-23,85.55
FUEL-200300,EQ-1050,2024-01-22,83.87
FUEL-200301,EQ-1074,2024-01-30,111.29
FUEL-200302,EQ-1082,2023-12-13,170.28
FUEL-200303,EQ-1013,2023-07-22,25.99
FUEL-200304,EQ-1095,2023-10-27,98.01
FUEL-200305,EQ-1000,2023-06-08,22.65
FUEL-200306,EQ-1139,2023-01-25,118.63
FUEL-200307,EQ-1056,2023-09-17,31.86
FUEL-200309,EQ-1046,2023-06-21,96.5
FUEL-200310,EQ-1148,2024-02-23,153.91
FUEL-200311,EQ-1126,2023-07-13,58.49
FUEL-200312,EQ-1120,2023-11-19,76.0
FUEL-200313,EQ-1143,2023-11-03,52.46
FUEL-200314,EQ-1128,2024-03-18,139.13
FUEL-200315,EQ-1110,2023-10-30,71.06
FUEL-200316,EQ-1034,2023-10-09,96.5
FUEL-200317,EQ-1011,2023-02-03,25.44
FUEL-200318,EQ-1020,2023-05-28,115.68
FUEL-200319,EQ-1024,2024-04-20,96.5
FUEL-200320,EQ-1082,2023-11-06,173.75
FUEL-200321,EQ-1015,2023-01-15,165.33
FUEL-200322,EQ-1074,2023-07-03,126.52
FUEL-200323,EQ-1075,2024-02-21,59.79
FUEL-200324,EQ-1009,2024-03-02,96.5
FUEL-200325,EQ-1095,2023-06-09,96.5
FUEL-200326,EQ-1052,2023-08-23,96.5
FUEL-200327,EQ-1113,2024-02-29,96.5
FUEL-200328,EQ-1102,2023-02-17,31.6
FUEL-200329,EQ-1138,2023-05-15,144.5
FUEL-200330,EQ-1093,2023-10-03,154.68
FUEL-200331,EQ-1034,2023-08-01,162.04
FUEL-200332,EQ-1007,2023-08-11,16.78
FUEL-200333,EQ-1057,2023-07-01,96.5
FUEL-200334,EQ-1066,2023-07-07,92.44
FUEL-200335,EQ-1066,2023-11-04,48.75
FUEL-200336,EQ-1091,2023-10-18,104.2
FUEL-200337,EQ-1121,2024-03-31,96.5
FUEL-200338,EQ-1143,2023-09-22,133.94
FUEL-200339,EQ-1059,2024-02-12,58.88
FUEL-200340,EQ-1042,2023-05-22,96.5
FUEL-200341,EQ-1119,2024-03-25,54.6
FUEL-200342,EQ-1130,2023-09-06,126.39
FUEL-200343,EQ-1044,2023-03-30,61.52
FUEL-200344,EQ-1075,2023-12-04,159.67
FUEL-200345,EQ-1143,2023-02-20,147.2
FUEL-200346,EQ-1036,2023-12-09,96.5
FUEL-200347,EQ-1047,2023-09-19,103.96
FUEL-200348,EQ-1057,2024-03-12,20.76
FUEL-200349,EQ-1015,2024-03-05,30.0
FUEL-200350,EQ-1057,2023-04-25,41.77
FUEL-200351,EQ-1020,2023-11-18,84.05
FUEL-200352,EQ-1094,2023-05-28,83.82
FUEL-200353,EQ-1011,2023-09-21,96.5
FUEL-200354,EQ-1096,2023-08-10,151.64
FUEL-200355,EQ-1032,2023-03-01,96.5
FUEL-200356,EQ-1025,2023-02-23,177.36
FUEL-200357,EQ-1148,2023-06-17,101.9
FUEL-200358,EQ-1130,2024-04-26,60.87
FUEL-200359,EQ-1112,2023-03-14,95.77
FUEL-200360,EQ-1078,2023-03-06,15.31
FUEL-200361,EQ-1067,2024-02-21,147.16
FUEL-200362,EQ-1124,2023-06-08,161.42
FUEL-200363,EQ-1130,2023-10-01,115.71
FUEL-200364,EQ-1006,2023-05-09,169.96
FUEL-200365,EQ-1025,2023-04-25,51.1
FUEL-200366,EQ-1054,2023-09-07,35.13
FUEL-200367,EQ-1092,2023-05-09,178.08
FUEL-200368,EQ-1000,2024-01-02,93.34
FUEL-200369,EQ-1046,2023-04-28,96.5
FUEL-200370,EQ-1076,2024-04-12,23.57
FUEL-200371,EQ-1109,2023-05-01,163.94
FUEL-200372,EQ-1116,2023-04-18,96.5
FUEL-200373,EQ-1087,2024-04-14,162.27
FUEL-200374,EQ-1045,2024-05-11,177.99
FUEL-200375,EQ-1094,2024-03-26,128.7
FUEL-200376,EQ-1132,2024-05-13,117.36
FUEL-200377,EQ-1046,2023-10-15,121.02
FUEL-200378,EQ-1105,2023-05-11,71.0
FUEL-200379,EQ-1079,2023-04-11,36.06
FUEL-200380,EQ-1003,2023-05-19,39.47
FUEL-200381,EQ-1050,2024-02-28,28.37
FUEL-200382,EQ-1117,2023-04-26,96.5
FUEL-200383,EQ-1132,2023-12-02,54.45
FUEL-200384,EQ-1146,2024-01-13,164.31
FUEL-200385,EQ-1093,2023-09-11,23.23
FUEL-200386,EQ-1077,2024-03-11,41.87
FUEL-200387,EQ-1071,2023-05-29,118.7
FUEL-200388,EQ-1019,2023-07-02,91.48
FUEL-200389,EQ-1129,2023-10-23,160.07
FUEL-200390,EQ-1012,2023-01-27,96.5
FUEL-200391,EQ-1036,2023-08-27,37.71
FUEL-200392,EQ-1120,2023-07-08,96.5
FUEL-200393,EQ-1098,2024-03-16,168.66
FUEL-200394,EQ-1121,2023-11-26,30.03
FUEL-200395,EQ-1139,2023-05-18,167.77
FUEL-200396,EQ-1027,2023-03-31,93.31
FUEL-200397,EQ-1034,2023-06-19,158.63
FUEL-200398,EQ-1022,2023-01-27,89.97
FUEL-200399,EQ-1075,2023-10-13,41.36
FUEL-200400,EQ-1072,2024-03-10,96.56
FUEL-200401,EQ-1056,2024-02-20,153.99
FUEL-200402,EQ-1052,2023-07-17,152.45
FUEL-200403,EQ-1052,2023-08-14,154.43
FUEL-200404,EQ-1042,2023-07-29,16.96
FUEL-200405,EQ-1091,2024-01-20,22.13
FUEL-200406,EQ-1109,2023-05-14,59.85
FUEL-200407,EQ-1123,2023-02-12,46.19
FUEL-200408,EQ-1130,2023-11-15,77.71
FUEL-200409,EQ-1087,2023-05-01,137.46
FUEL-200410,EQ-1081,2023-05-24,96.5
FUEL-200411,EQ-1066,2023-04-20,153.23
FUEL-200412,EQ-1006,2023-09-29,177.7
FUEL-200413,EQ-1057,2023-08-07,109.79
FUEL-200414,EQ-1123,2023-05-14,24.54
FUEL-200415,EQ-1077,2023-04-20,176.63
FUEL-200416,EQ-1135,2023-06-17,86.13
FUEL-200417,EQ-1123,2024-04-19,15.94
FUEL-200418,EQ-1103,2024-05-08,32.74
FUEL-200419,EQ-1056,2023-12-14,121.01
FUEL-200420,EQ-1039,2023-08-26,96.5
FUEL-200421,EQ-1002,2024-01-06,78.63
FUEL-200422,EQ-1081,2023-02-07,149.42
FUEL-200423,EQ-1010,2023-10-16,66.44
FUEL-200424,EQ-1104,2023-05-21,175.03
FUEL-200425,EQ-1073,2023-02-06,96.5
FUEL-200426,EQ-1145,2024-02-04,112.58
FUEL-200427,EQ-1010,2023-02-06,171.69
FUEL-200428,EQ-1124,2023-01-15,106.06
FUEL-200429,EQ-1121,2024-02-14,109.23
FUEL-200430,EQ-1036,2023-08-18,17.68
FUEL-200431,EQ-1102,2023-11-23,96.5
FUEL-200432,EQ-1118,2023-01-29,77.91
FUEL-200433,EQ-1018,2023-06-10,55.21
FUEL-200434,EQ-1116,2023-01-21,96.5
FUEL-200435,EQ-1001,2024-04-15,151.75
FUEL-200436,EQ-1010,2023-06-13,165.89
FUEL-200437,EQ-1139,2024-04-10,15.86
FUEL-200438,EQ-1097,2024-04-13,176.82
FUEL-200439,EQ-1072,2023-11-11,152.93
FUEL-200440,EQ-1143,2023-03-18,175.04
FUEL-200441,EQ-1084,2023-09-17,94.97
FUEL-200442,EQ-1039,2024-02-21,20.95
FUEL-200443,EQ-1040,2023-12-28,174.13
FUEL-200444,EQ-1036,2024-04-13,96.5
FUEL-200445,EQ-1119,2024-04-30,38.37
FUEL-200446,EQ-1064,2023-11-30,123.81
FUEL-200447,EQ-1082,2023-05-28,15.39
FUEL-200448,EQ-1004,2023-07-25,143.39
FUEL-200449,EQ-1106,2023-08-19,42.59
FUEL-200451,EQ-1076,2023-11-10,89.1
FUEL-200452,EQ-1111,2023-03-31,86.64
FUEL-200453,EQ-1079,2024-03-08,96.5
FUEL-200454,EQ-1126,2023-03-04,152.02
FUEL-200455,EQ-1082,2023-11-23,133.3
FUEL-200456,EQ-1030,2023-05-06,91.82
FUEL-200457,EQ-1148,2023-04-19,169.65
FUEL-200458,EQ-1044,2024-02-17,119.21
FUEL-200459,EQ-1032,2023-09-13,65.38
FUEL-200460,EQ-1070,2023-11-28,96.5
FUEL-200461,EQ-1007,2023-03-21,162.26
FUEL-200462,EQ-1144,2023-05-31,50.49
FUEL-200463,EQ-1063,2023-06-06,148.49
FUEL-200464,EQ-1033,2024-02-01,94.91
FUEL-200465,EQ-1094,2023-06-05,153.81
FUEL-200466,EQ-1140,2023-01-01,115.9
FUEL-200467,EQ-1093,2023-12-11,167.68
FUEL-200468,EQ-1091,2024-01-19,55.15
FUEL-200469,EQ-1069,2023-03-24,70.75
FUEL-200470,EQ-1147,2024-02-02,75.91
FUEL-200471,EQ-1112,2024-02-24,25.62
FUEL-200472,EQ-1142,2024-02-29,20.86
FUEL-200473,EQ-1117,2023-09-07,39.1
FUEL-200475,EQ-1100,2024-02-19,28.06
FUEL-200476,EQ-1015,2023-08-23,178.76
FUEL-200477,EQ-1070,2023-02-25,112.67
FUEL-200478,EQ-1007,2024-02-11,170.18
FUEL-200479,EQ-1129,2024-01-11,64.58
FUEL-200480,EQ-1034,2023-12-20,102.83
FUEL-200481,EQ-1121,2023-05-13,98.87
FUEL-200482,EQ-1123,2024-02-15,106.72
FUEL-200483,EQ-1139,2023-04-02,122.45
FUEL-200485,EQ-1121,2023-08-17,20.17
FUEL-200486,EQ-1088,2023-08-14,113.1
FUEL-200487,EQ-1055,2023-05-02,96.5
FUEL-200488,EQ-1032,2023-12-02,157.95
FUEL-200489,EQ-1094,2023-07-24,43.99
FUEL-200490,EQ-1091,2023-03-22,179.97
FUEL-200491,EQ-1029,2023-02-02,82.86
FUEL-200492,EQ-1075,2024-03-02,66.39
FUEL-200493,EQ-1141,2023-09-11,127.88
FUEL-200494,EQ-1055,2023-06-28,72.72
FUEL-200495,EQ-1071,2023-10-03,94.85
FUEL-200496,EQ-1108,2024-02-07,40.44
FUEL-200497,EQ-1036,2024-04-22,40.27
FUEL-200498,EQ-1120,2023-09-04,129.35
FUEL-200499,EQ-1112,2024-03-16,96.5
FUEL-200500,EQ-1098,2023-07-12,66.77
FUEL-200501,EQ-1101,2023-09-23,54.03
FUEL-200502,EQ-1025,2024-01-28,66.51
FUEL-200503,EQ-1007,2023-03-29,96.5
FUEL-200504,EQ-1002,2024-01-02,35.2
FUEL-200505,EQ-1083,2024-03-19,47.88
FUEL-200506,EQ-1015,2024-03-04,121.92
FUEL-200507,EQ-1074,2023-09-19,15.66
FUEL-200508,EQ-1074,2024-02-05,166.85
FUEL-200509,EQ-1031,2023-11-28,158.19
FUEL-200510,EQ-1128,2023-04-18,144.57
FUEL-200511,EQ-1062,2023-12-28,149.25
FUEL-200512,EQ-1103,2024-03-23,90.32
FUEL-200513,EQ-1097,2023-08-07,96.5
FUEL-200514,EQ-1092,2023-12-31,72.11
FUEL-200515,EQ-1053,2023-03-11,57.85
FUEL-200516,EQ-1046,2023-12-11,61.78
FUEL-200517,EQ-1053,2023-06-12,96.5
FUEL-200518,EQ-1017,2023-10-10,50.76
FUEL-200519,EQ-1141,2023-03-04,108.45
FUEL-200520,EQ-1129,2023-10-31,93.85
FUEL-200522,EQ-1107,2024-01-17,87.52
FUEL-200523,EQ-1081,2024-01-19,128.21
FUEL-200524,EQ-1057,2023-03-28,145.95
FUEL-200525,EQ-1020,2023-09-07,91.05
FUEL-200526,EQ-1074,2023-10-19,126.6
FUEL-200527,EQ-1109,2024-02-14,123.77
FUEL-200528,EQ-1016,2023-02-17,142.71
FUEL-200529,EQ-1028,2023-07-16,103.24
FUEL-200530,EQ-1049,2023-07-31,53.66
FUEL-200531,EQ-1085,2023-01-13,96.5
FUEL-200532,EQ-1121,2023-06-09,64.75
FUEL-200533,EQ-1075,2023-08-08,161.66
FUEL-200534,EQ-1125,2023-04-22,164.41
FUEL-200535,EQ-1130,2023-10-06,96.5
FUEL-200536,EQ-1089,2023-01-30,76.61
FUEL-200537,EQ-1139,2023-12-27,137.94
FUEL-200538,EQ-1139,2023-09-09,42.28
FUEL-200539,EQ-1061,2023-11-25,157.55
FUEL-200540,EQ-1022,2023-01-14,176.28
FUEL-200541,EQ-1114,2023-08-04,159.66
FUEL-200542,EQ-1127,2023-11-20,77.02
FUEL-200543,EQ-1124,2023-08-21,96.5
FUEL-200544,EQ-1143,2023-05-09,45.69
FUEL-200545,EQ-1014,2024-06-04,136.4
FUEL-200546,EQ-1085,2024-01-13,47.69
FUEL-200547,EQ-1034,2024-02-22,96.5
FUEL-200548,EQ-1101,2023-07-22,59.02
FUEL-200549,EQ-1130,2024-02-09,178.03
FUEL-200550,EQ-1089,2024-03-13,130.59
FUEL-200551,EQ-1122,2023-02-13,63.46
