Usage_ID,Equipment_ID,Operator_ID,Usage_Date,Hours_Used
USG-100116,EQ-1104,OP-211,2023-07-01,9.74
USG-100118,EQ-1146,OP-248,2023-03-28,6.68
USG-100119,EQ-1111,OP-238,2023-09-05,11.41
USG-100121,EQ-1097,OP-242,2023-08-14,10.52
USG-100122,EQ-1034,OP-277,2024-04-30,3.37
USG-100123,EQ-1081,OP-262,2024-05-10,5.45
USG-100124,EQ-1100,OP-272,2023-04-13,8.66
USG-100125,EQ-1118,OP-226,2023-08-13,2.23
USG-100126,EQ-1104,OP-217,2023-11-21,3.12
USG-100127,EQ-1096,OP-276,2023-09-03,11.2
USG-100128,EQ-1107,OP-246,2023-12-26,8.2
USG-100129,EQ-1063,OP-245,2023-03-27,6.77
USG-100130,EQ-1102,OP-242,2024-05-09,2.54
USG-100131,EQ-1132,OP-273,2023-04-24,9.61
USG-100133,EQ-1036,OP-243,2023-08-22,5.16
USG-100134,EQ-1115,OP-238,2023-01-23,10.42
USG-100135,EQ-1042,OP-231,2023-09-22,7.38
USG-100136,EQ-1059,OP-223,2023-04-06,1.81
USG-100137,EQ-1050,OP-254,2023-07-19,4.42
USG-100138,EQ-1016,OP-268,2023-04-06,2.7
USG-100139,EQ-1125,OP-240,2023-11-02,2.7
USG-100140,EQ-1117,OP-238,2024-04-15,2.91
USG-100141,EQ-1078,OP-247,2023-12-22,7.76
USG-100142,EQ-1108,OP-268,2023-12-22,3.32
USG-100143,EQ-1073,OP-240,2024-03-07,6.77
USG-100144,EQ-1002,OP-224,2024-02-22,8.36
USG-100145,EQ-1125,OP-256,2023-09-08,9.86
USG-100146,EQ-1008,OP-268,2023-05-28,9.3
USG-100147,EQ-1140,OP-273,2023-02-28,11.9
USG-100148,EQ-1010,OP-256,2023-10-07,9.23
USG-100149,EQ-1063,OP-204,2023-08-19,2.41
USG-100150,EQ-1030,OP-230,2023-04-18,5.18
USG-100151,EQ-1109,OP-217,2024-02-06,2.12
USG-100152,EQ-1071,OP-221,2023-06-15,7.51
USG-100153,EQ-1131,OP-212,2023-03-11,11.15
USG-100154,EQ-1032,OP-216,2023-05-08,4.1
USG-100155,EQ-1100,OP-273,2023-11-20,6.25
USG-100156,EQ-1023,OP-235,2023-12-22,11.48
USG-100157,EQ-1000,OP-211,2024-01-10,8.82
USG-100158,EQ-1136,OP-254,2024-02-27,10.2
USG-100159,EQ-1147,OP-262,2024-02-08,2.01
USG-100160,EQ-1117,OP-UNKNOWN,2024-04-20,1.51
USG-100161,EQ-1051,OP-216,2024-03-27,11.29
USG-100162,EQ-1092,OP-247,2023-12-07,5.66
USG-100164,EQ-1132,OP-201,2023-01-05,11.88
USG-100166,EQ-1076,OP-217,2023-11-25,7.07
USG-100169,EQ-1109,OP-217,2023-05-07,7.31
USG-100170,EQ-1072,OP-203,2024-03-10,3.66
USG-100171,EQ-1048,OP-237,2023-11-27,11.52
USG-100172,EQ-1028,OP-276,2023-02-06,11.86
USG-100173,EQ-1033,OP-272,2023-08-04,9.51
USG-100174,EQ-1018,OP-UNKNOWN,2023-04-02,11.19
USG-100175,EQ-1101,OP-264,2024-01-28,2.37
USG-100176,EQ-1039,OP-239,2023-02-10,9.98
USG-100177,EQ-1100,OP-208,2023-06-08,10.39
USG-100178,EQ-1022,OP-214,2023-08-21,6.77
USG-100179,EQ-1044,OP-217,2023-12-26,5.14
USG-100180,EQ-1066,OP-216,2024-01-19,10.81
USG-100181,EQ-1007,OP-254,2023-05-20,11.74
USG-100182,EQ-1127,OP-246,2023-01-29,5.36
USG-100183,EQ-1026,OP-214,2023-04-27,6.77
USG-100184,EQ-1003,OP-260,2023-07-06,11.28
USG-100185,EQ-1141,OP-253,2023-04-25,9.06
USG-100186,EQ-1019,OP-215,2023-09-15,6.77
USG-100187,EQ-1132,OP-251,2023-02-05,9.62
USG-100188,EQ-1022,OP-201,2023-07-08,4.69
USG-100189,EQ-1118,OP-263,2024-01-31,7.24
USG-100190,EQ-1038,OP-UNKNOWN,2023-07-29,8.18
USG-100191,EQ-1002,OP-200,2024-01-24,9.14
USG-100192,EQ-1135,OP-253,2023-09-09,2.99
USG-100193,EQ-1011,OP-266,2023-07-31,11.73
USG-100194,EQ-1024,OP-250,2023-02-08,6.77
USG-100195,EQ-1033,OP-233,2024-03-11,8.86
USG-100196,EQ-1081,OP-229,2023-02-08,9.59
USG-100197,EQ-1027,OP-259,2023-06-10,11.63
USG-100198,EQ-1078,OP-215,2023-02-16,10.18
USG-100200,EQ-1076,OP-222,2023-01-16,7.34
USG-100201,EQ-1024,OP-217,2023-04-03,11.82
USG-100202,EQ-1102,OP-210,2023-10-26,2.29
USG-100203,EQ-1050,OP-256,2024-02-19,10.21
USG-100204,EQ-1010,OP-206,2023-03-28,9.11
USG-100205,EQ-1097,OP-222,2023-07-01,4.44
USG-100206,EQ-1008,OP-278,2023-05-06,10.77
USG-100207,EQ-1022,OP-217,2023-08-03,7.02
USG-100208,EQ-1139,OP-248,2024-02-05,9.71
USG-100209,EQ-1144,OP-249,2023-05-19,3.8
USG-100210,EQ-1071,OP-260,2023-09-29,3.94
USG-100211,EQ-1063,OP-234,2023-10-01,2.09
USG-100212,EQ-1056,OP-249,2023-07-01,3.32
USG-100213,EQ-1081,OP-245,2024-04-12,5.19
USG-100214,EQ-1036,OP-224,2024-03-04,6.67
USG-100215,EQ-1125,OP-207,2023-04-30,6.77
USG-100216,EQ-1084,OP-225,2024-02-17,11.15
USG-100217,EQ-1082,OP-218,2023-10-28,2.66
USG-100218,EQ-1093,OP-247,2023-12-27,2.56
USG-100219,EQ-1034,OP-255,2024-02-10,4.83
USG-100220,EQ-1143,OP-278,2024-02-07,10.05
USG-100221,EQ-1075,OP-200,2024-04-30,10.43
USG-100222,EQ-1145,OP-277,2023-06-12,3.82
USG-100223,EQ-1127,OP-209,2023-05-02,8.18
USG-100224,EQ-1085,OP-233,2023-04-18,6.77
USG-100225,EQ-1027,OP-206,2023-07-17,3.25
USG-100226,EQ-1096,OP-248,2023-02-21,7.57
USG-100227,EQ-1057,OP-209,2024-02-14,4.85
USG-100228,EQ-1018,OP-248,2023-03-24,10.93
USG-100229,EQ-1123,OP-255,2024-04-27,6.06
USG-100230,EQ-1084,OP-224,2023-07-29,9.16
USG-100231,EQ-1072,OP-212,2023-01-26,6.65
USG-100232,EQ-1000,OP-237,2024-02-26,3.6
USG-100233,EQ-1043,OP-210,2023-08-31,5.67
USG-100234,EQ-1067,OP-269,2023-07-18,5.38
USG-100235,EQ-1067,OP-233,2023-04-26,3.09
USG-100236,EQ-1024,OP-244,2024-02-18,7.69
USG-100237,EQ-1099,OP-253,2024-05-09,6.49
USG-100238,EQ-1121,OP-250,2024-04-07,6.77
USG-100239,EQ-1132,OP-279,2023-03-17,3.32
USG-100240,EQ-1054,OP-216,2023-01-22,6.07
USG-100241,EQ-1037,OP-233,2023-06-13,2.2
USG-100242,EQ-1101,OP-235,2023-09-24,9.76
USG-100243,EQ-1133,OP-214,2023-08-01,7.62
USG-100245,EQ-1105,OP-262,2023-10-20,6.77
USG-100246,EQ-1036,OP-251,2023-01-20,8.75
USG-100247,EQ-1121,OP-247,2023-01-11,4.76
USG-100248,EQ-1025,OP-229,2023-03-10,9.63
USG-100249,EQ-1106,OP-211,2023-04-07,5.78
USG-100250,EQ-1132,OP-207,2023-09-21,6.77
USG-100251,EQ-1103,OP-267,2024-03-26,10.69
USG-100252,EQ-1014,OP-258,2023-01-26,4.38
USG-100253,EQ-1129,OP-215,2023-12-15,7.74
USG-100254,EQ-1121,OP-244,2023-06-26,9.36
USG-100255,EQ-1072,OP-206,2023-03-25,3.75
USG-100256,EQ-1057,OP-234,2023-11-30,6.77
USG-100257,EQ-1002,OP-216,2023-11-28,3.85
USG-100258,EQ-1078,OP-235,2023-08-05,6.32
USG-100259,EQ-1077,OP-279,2023-07-23,6.77
USG-100260,EQ-1095,OP-276,2023-11-08,6.56
USG-100261,EQ-1070,OP-235,2023-05-14,8.34
USG-100262,EQ-1132,OP-207,2024-02-17,5.74
USG-100263,EQ-1035,OP-263,2023-06-01,5.58
USG-100264,EQ-1146,OP-243,2024-01-07,8.2
USG-100265,EQ-1091,OP-221,2024-03-06,4.58
USG-100266,EQ-1066,OP-271,2024-01-26,10.95
USG-100267,EQ-1056,OP-239,2023-08-04,4.24
USG-100268,EQ-1030,OP-274,2023-10-25,6.77
USG-100269,EQ-1128,OP-248,2023-09-29,6.77
USG-100270,EQ-1035,OP-243,2023-07-29,11.86
USG-100271,EQ-1046,OP-262,2023-06-20,8.16
USG-100273,EQ-1111,OP-251,2023-08-08,1.9
USG-100274,EQ-1095,OP-241,2024-01-23,8.61
USG-100275,EQ-1063,OP-244,2023-06-09,7.68
USG-100276,EQ-1011,OP-237,2023-08-22,5.05
USG-100277,EQ-1034,OP-262,2023-07-03,11.02
USG-100278,EQ-1004,OP-216,2023-04-19,3.27
USG-100279,EQ-1009,OP-232,2024-01-30,6.77
USG-100280,EQ-1027,OP-202,2023-01-25,5.49
USG-100281,EQ-1121,OP-226,2023-12-22,6.77
USG-100282,EQ-1025,OP-234,2023-11-15,10.22
USG-100283,EQ-1030,OP-213,2023-09-12,4.26
USG-100284,EQ-1051,OP-252,2023-06-01,11.06
USG-100285,EQ-1123,OP-200,2023-01-07,10.27
USG-100286,EQ-1038,OP-265,2023-02-08,4.19
USG-100287,EQ-1075,OP-206,2023-02-21,10.45
USG-100288,EQ-1080,OP-214,2023-02-18,1.6
USG-100289,EQ-1043,OP-256,2024-05-04,2.48
USG-100290,EQ-1046,OP-251,2024-05-07,8.74
USG-100291,EQ-1107,OP-221,2023-02-27,11.81
USG-100292,EQ-1026,OP-275,2023-09-05,3.4
USG-100293,EQ-1091,OP-216,2023-09-05,5.82
USG-100294,EQ-1066,OP-201,2023-12-27,9.31
USG-100295,EQ-1057,OP-243,2023-09-23,2.5
USG-100296,EQ-1063,OP-249,2023-03-18,11.87
USG-100297,EQ-1040,OP-260,2024-03-12,9.39
USG-100298,EQ-1084,OP-206,2023-09-17,5.73
USG-100300,EQ-1004,OP-252,2023-01-19,6.77
USG-100301,EQ-1077,OP-271,2023-04-16,5.08
USG-100302,EQ-1057,OP-242,2023-10-14,9.02
USG-100303,EQ-1115,OP-228,2023-01-02,11.63
USG-100304,EQ-1133,OP-213,2023-01-24,10.13
USG-100305,EQ-1104,OP-278,2023-04-11,5.63
USG-100306,EQ-1048,OP-213,2024-01-23,10.29
USG-100307,EQ-1115,OP-275,2024-05-04,1.55
USG-100308,EQ-1141,OP-274,2023-09-05,11.06
USG-100309,EQ-1044,OP-216,2023-02-23,10.77
USG-100310,EQ-1098,OP-277,2024-04-13,5.68
USG-100311,EQ-1075,OP-217,2023-03-12,9.36
USG-100312,EQ-1140,OP-270,2023-11-20,9.0
USG-100313,EQ-1033,OP-222,2023-09-15,8.96
USG-100314,EQ-1143,OP-273,2024-04-27,9.35
USG-100315,EQ-1073,OP-254,2024-02-18,5.5
USG-100316,EQ-1014,OP-220,2023-05-27,2.15
USG-100317,EQ-1052,OP-204,2023-07-03,10.61
USG-100318,EQ-1057,OP-271,2023-07-19,9.89
USG-100319,EQ-1012,OP-249,2023-08-02,4.78
USG-100320,EQ-1003,OP-225,2023-11-14,6.15
USG-100321,EQ-1094,OP-269,2024-01-14,11.63
USG-100322,EQ-1045,OP-209,2023-04-06,2.75
USG-100323,EQ-1071,OP-216,2023-03-24,4.97
USG-100324,EQ-1039,OP-241,2023-11-02,7.96
USG-100325,EQ-1125,OP-270,2023-07-03,7.02
USG-100326,EQ-1133,OP-264,2023-03-23,2.47
USG-100327,EQ-1054,OP-242,2023-07-04,7.99
USG-100328,EQ-1143,OP-201,2023-02-28,11.0
USG-100329,EQ-1062,OP-241,2023-07-15,5.55
USG-100330,EQ-1072,OP-266,2024-02-25,6.84
USG-100331,EQ-1075,OP-224,2023-06-14,3.26
USG-100332,EQ-1137,OP-208,2023-04-18,10.58
USG-100333,EQ-1026,OP-255,2023-11-28,6.77
USG-100335,EQ-1142,OP-229,2024-04-11,8.12
USG-100336,EQ-1004,OP-215,2023-01-10,2.16
USG-100337,EQ-1011,OP-209,2023-07-03,9.76
USG-100338,EQ-1022,OP-256,2023-07-15,6.48
USG-100339,EQ-1034,OP-269,2023-06-01,8.61
USG-100340,EQ-1095,OP-201,2023-10-11,1.94
USG-100341,EQ-1100,OP-210,2023-06-06,9.12
USG-100342,EQ-1131,OP-223,2023-04-24,2.7
USG-100343,EQ-1145,OP-270,2023-08-25,6.77
USG-100344,EQ-1064,OP-274,2023-09-07,8.55
USG-100345,EQ-1072,OP-224,2023-06-12,8.42
USG-100346,EQ-1039,OP-246,2024-02-18,1.55
USG-100347,EQ-1056,OP-255,2023-05-22,9.2
USG-100348,EQ-1118,OP-239,2023-09-07,7.87
USG-100349,EQ-1035,OP-225,2023-05-15,9.14
USG-100350,EQ-1129,OP-274,2023-10-24,11.02
USG-100351,EQ-1139,OP-269,2023-08-30,5.62
USG-100353,EQ-1042,OP-217,2023-08-17,7.44
USG-100354,EQ-1037,OP-261,2024-04-25,6.62
USG-100355,EQ-1094,OP-226,2023-09-23,6.43
USG-100356,EQ-1011,OP-241,2023-02-22,10.21
USG-100357,EQ-1067,OP-272,2023-03-31,7.67
USG-100358,EQ-1019,OP-248,2024-05-13,5.21
USG-100359,EQ-1124,OP-277,2023-01-04,3.24
USG-100360,EQ-1071,OP-223,2023-03-22,2.74
USG-100361,EQ-1084,OP-261,2023-12-12,3.19
USG-100362,EQ-1005,OP-216,2023-10-21,6.88
USG-100363,EQ-1037,OP-233,2024-04-17,7.79
USG-100365,EQ-1043,OP-252,2023-11-04,9.56
USG-100366,EQ-1130,OP-243,2024-04-17,3.91
USG-100367,EQ-1027,OP-UNKNOWN,2023-09-25,5.91
USG-100368,EQ-1024,OP-278,2023-04-11,6.78
USG-100369,EQ-1123,OP-277,2023-10-04,9.64
USG-100370,EQ-1133,OP-205,2023-12-24,9.92
USG-100371,EQ-1097,OP-273,2023-02-20,9.54
USG-100372,EQ-1021,OP-269,2023-07-29,6.77
USG-100373,EQ-1001,OP-215,2023-09-24,8.72
USG-100374,EQ-1092,OP-254,2023-11-30,7.13
USG-100375,EQ-1070,OP-250,2024-01-22,7.35
USG-100376,EQ-1143,OP-232,2023-06-07,5.68
USG-100377,EQ-1030,OP-257,2024-02-05,3.75
USG-100378,EQ-1086,OP-278,2023-12-23,6.77
USG-100379,EQ-1001,OP-218,2023-08-30,2.17
USG-100380,EQ-1020,OP-249,2024-04-21,6.97
USG-100381,EQ-1014,OP-222,2023-11-24,6.77
USG-100382,EQ-1132,OP-204,2024-02-06,3.93
USG-100383,EQ-1009,OP-200,2024-05-14,9.69
USG-100384,EQ-1101,OP-225,2023-09-23,11.15
USG-100385,EQ-1143,OP-244,2023-06-27,7.87
USG-100386,EQ-1103,OP-233,2023-03-31,2.26
USG-100387,EQ-1029,OP-232,2024-03-24,4.13
USG-100388,EQ-1096,OP-231,2024-01-23,8.66
USG-100389,EQ-1007,OP-233,2023-02-04,3.81
USG-100390,EQ-1080,OP-245,2023-09-22,4.27
USG-100391,EQ-1102,OP-243,2023-02-08,4.8
USG-100392,EQ-1146,OP-224,2023-09-13,4.04
USG-100393,EQ-1058,OP-231,2024-03-04,2.62
USG-100394,EQ-1126,OP-269,2024-05-05,8.02
USG-100395,EQ-1147,OP-262,2023-04-04,4.44
USG-100396,EQ-1147,OP-267,2024-02-14,1.84
USG-100397,EQ-1044,OP-215,2023-12-24,1.59
USG-100398,EQ-1097,OP-241,2023-07-05,7.26
USG-100399,EQ-1120,OP-243,2023-07-07,5.9
USG-100400,EQ-1093,OP-235,2023-08-19,7.55
USG-100401,EQ-1025,OP-230,2023-10-12,3.03
USG-100402,EQ-1038,OP-201,2023-04-01,10.88
USG-100403,EQ-1136,OP-262,2023-06-03,2.0
USG-100404,EQ-1041,OP-232,2023-09-01,9.32
USG-100405,EQ-1092,OP-232,2023-06-26,10.61
USG-100406,EQ-1050,OP-268,2023-03-31,4.91
USG-100407,EQ-1114,OP-248,2023-11-11,3.02
USG-100408,EQ-1086,OP-278,2023-10-20,2.33
USG-100409,EQ-1080,OP-237,2023-12-30,4.35
USG-100410,EQ-1092,OP-266,2024-05-09,10.47
USG-100411,EQ-1060,OP-210,2023-04-18,2.17
USG-100412,EQ-1140,OP-250,2023-09-26,4.26
USG-100413,EQ-1099,OP-231,2024-01-13,2.88
USG-100414,EQ-1007,OP-245,2024-03-16,6.41
USG-100415,EQ-1069,OP-217,2024-05-11,7.7
USG-100416,EQ-1144,OP-268,2023-06-08,3.88
USG-100417,EQ-1078,OP-233,2023-03-21,6.77
USG-100418,EQ-1034,OP-260,2023-01-10,11.44
USG-100419,EQ-1002,OP-237,2023-11-02,6.77
USG-100420,EQ-1105,OP-255,2023-07-22,8.28
USG-100421,EQ-1056,OP-254,2023-11-17,11.05
USG-100422,EQ-1069,OP-268,2024-02-19,2.22
USG-100423,EQ-1028,OP-279,2023-08-20,3.47
USG-100425,EQ-1002,OP-219,2023-01-08,4.77
USG-100427,EQ-1100,OP-260,2023-04-03,10.08
USG-100428,EQ-1031,OP-231,2023-07-17,9.24
USG-100429,EQ-1117,OP-212,2023-09-24,5.59
USG-100430,EQ-1082,OP-205,2024-01-17,4.16
USG-100431,EQ-1050,OP-206,2024-03-18,3.98
USG-100433,EQ-1121,OP-219,2023-07-10,6.75
USG-100434,EQ-1086,OP-207,2023-01-31,7.13
USG-100435,EQ-1124,OP-271,2024-02-08,10.86
USG-100436,EQ-1005,OP-245,2024-01-06,6.6
USG-100437,EQ-1075,OP-262,2023-04-08,4.9
USG-100438,EQ-1141,OP-267,2023-03-21,7.19
USG-100439,EQ-1129,OP-223,2024-03-28,9.65
USG-100440,EQ-1016,OP-268,2024-02-24,6.72
USG-100442,EQ-1045,OP-225,2023-02-24,7.5
USG-100443,EQ-1125,OP-275,2023-05-12,9.04
USG-100445,EQ-1106,OP-207,2024-02-26,9.21
USG-100447,EQ-1063,OP-222,2023-10-13,2.61
USG-100449,EQ-1040,OP-276,2023-08-15,7.28
USG-100450,EQ-1095,OP-255,2024-02-27,7.41
USG-100451,EQ-1140,OP-232,2023-07-04,5.67
USG-100452,EQ-1072,OP-266,2023-03-11,4.65
USG-100453,EQ-1080,OP-235,2024-04-15,11.22
USG-100454,EQ-1009,OP-219,2023-03-12,4.12
USG-100455,EQ-1076,OP-251,2023-10-19,9.1
USG-100456,EQ-1044,OP-273,2024-02-24,4.65
USG-100457,EQ-1147,OP-207,2024-04-16,10.08
USG-100458,EQ-1030,OP-229,2024-01-18,1.62
USG-100459,EQ-1097,OP-267,2023-01-22,4.93
USG-100460,EQ-1039,OP-250,2024-05-12,6.8
USG-100461,EQ-1074,OP-218,2023-03-09,9.33
USG-100462,EQ-1067,OP-264,2023-08-11,2.92
USG-100463,EQ-1124,OP-273,2023-04-11,7.0
USG-100464,EQ-1068,OP-241,2023-12-17,8.55
USG-100465,EQ-1089,OP-244,2023-11-01,3.28
USG-100466,EQ-1113,OP-256,2023-01-23,8.7
USG-100467,EQ-1021,OP-206,2023-05-05,10.62
USG-100468,EQ-1003,OP-214,2023-06-06,6.77
USG-100469,EQ-1137,OP-269,2023-09-25,8.04
USG-100470,EQ-1004,OP-267,2023-01-23,6.77
USG-100471,EQ-1069,OP-201,2023-02-04,10.45
USG-100472,EQ-1027,OP-UNKNOWN,2024-03-20,11.79
USG-100473,EQ-1025,OP-262,2024-03-19,3.59
USG-100474,EQ-1143,OP-202,2023-01-21,5.0
USG-100475,EQ-1040,OP-UNKNOWN,2023-12-17,3.98
USG-100476,EQ-1128,OP-207,2023-11-17,12.0
USG-100477,EQ-1142,OP-228,2023-03-19,2.94
USG-100478,EQ-1133,OP-278,2024-03-22,4.02
USG-100479,EQ-1079,OP-242,2023-08-18,2.96
USG-100480,EQ-1051,OP-239,2023-12-19,2.92
USG-100481,EQ-1037,OP-272,2024-04-14,6.77
USG-100482,EQ-1030,OP-218,2024-08-01,11.72
USG-100483,EQ-1077,OP-235,2023-03-19,3.44
USG-100484,EQ-1068,OP-278,2023-04-29,1.77
USG-100485,EQ-1122,OP-277,2023-08-29,10.45
USG-100486,EQ-1035,OP-228,2023-01-17,11.22
USG-100487,EQ-1056,OP-225,2024-01-23,11.52
USG-100488,EQ-1125,OP-258,2024-03-30,1.94
USG-100489,EQ-1097,OP-250,2023-11-10,7.13
USG-100490,EQ-1009,OP-257,2023-08-22,6.77
USG-100491,EQ-1132,OP-205,2023-10-13,11.61
USG-100492,EQ-1112,OP-238,2024-02-01,5.94
USG-100493,EQ-1013,OP-218,2023-08-26,9.09
USG-100494,EQ-1149,OP-269,2023-03-11,1.76
USG-100495,EQ-1051,OP-211,2023-05-09,8.97
USG-100496,EQ-1031,OP-257,2023-11-21,5.53
USG-100497,EQ-1130,OP-220,2023-07-13,6.77
USG-100498,EQ-1085,OP-219,2023-03-25,8.98
USG-100499,EQ-1079,OP-257,2023-05-28,2.88
USG-100500,EQ-1064,OP-UNKNOWN,2023-09-12,1.56
USG-100501,EQ-1060,OP-260,2023-08-21,6.77
USG-100502,EQ-1062,OP-235,2023-11-14,3.68
