Maintenance_ID,Equipment_ID,Maintenance_Date,Type,Cost
MNT-300093,EQ-1131,2023-02-25,Routine Service,1293.17
MNT-300094,EQ-1044,2023-01-18,Routine Service,2158.86
MNT-300095,EQ-1063,2023-11-09,Filter Change,287.44
MNT-300096,EQ-1124,2023-10-08,Oil Change,2685.34
MNT-300097,EQ-1086,2024-01-29,Hydraulic Repair,1756.2
MNT-300098,EQ-1046,2024-04-26,Tire Replacement,1650.32
MNT-300099,EQ-1018,2023-02-27,Tire Replacement,1254.27
MNT-300100,EQ-1115,2023-10-30,Tire Replacement,928.27
MNT-300101,EQ-1015,2023-03-12,Routine Service,856.01
MNT-300102,EQ-1041,2023-10-14,Tire Replacement,2236.3
MNT-300103,EQ-1082,2024-01-24,Engine Overhaul,585.03
MNT-300104,EQ-1104,2023-09-08,Brake Check,1798.78
MNT-300105,EQ-1073,2023-01-04,Engine Overhaul,443.27
MNT-300106,EQ-1072,2023-02-05,Oil Change,2540.59
MNT-300107,EQ-1057,2023-08-03,Hydraulic Repair,3438.06
MNT-300108,EQ-1067,2023-01-21,Filter Change,370.47
MNT-300109,EQ-1051,2023-01-19,General Maintenance,2022.25
MNT-300110,EQ-1052,2023-04-06,Tire Replacement,679.57
MNT-300111,EQ-1056,2024-02-24,Hydraulic Repair,3456.74
MNT-300112,EQ-1148,2023-08-01,Brake Check,1971.77
MNT-300113,EQ-1119,2024-02-01,Tire Replacement,1076.44
MNT-300114,EQ-1033,2023-11-29,Engine Overhaul,3159.51
MNT-300115,EQ-1039,2023-12-08,Hydraulic Repair,1798.78
MNT-300116,EQ-1043,2023-06-04,Filter Change,2763.81
MNT-300117,EQ-1078,2024-04-15,Tire Replacement,1732.09
MNT-300118,EQ-1145,2023-03-09,Routine Service,1304.74
MNT-300119,EQ-1018,2023-04-28,Engine Overhaul,2515.6
MNT-300120,EQ-1148,2023-08-20,Tire Replacement,2937.87
MNT-300121,EQ-1004,2023-10-14,Brake Check,440.42
MNT-300122,EQ-1131,2023-08-03,Hydraulic Repair,2760.85
MNT-300123,EQ-1055,2023-08-11,Tire Replacement,2646.82
MNT-300124,EQ-1084,2024-02-19,Routine Service,800.19
MNT-300125,EQ-1081,2023-03-25,Oil Change,3205.04
MNT-300126,EQ-1030,2024-03-01,Hydraulic Repair,402.72
MNT-300127,EQ-1136,2024-03-10,Tire Replacement,872.28
MNT-300128,EQ-1018,2023-04-19,Engine Overhaul,2343.88
MNT-300129,EQ-1073,2023-10-22,Filter Change,2390.39
MNT-300130,EQ-1034,2024-01-17,Engine Overhaul,2833.18
MNT-300131,EQ-1011,2024-04-10,Hydraulic Repair,2839.5
MNT-300132,EQ-1142,2024-04-15,Brake Check,3438.63
MNT-300133,EQ-1001,2023-05-08,Filter Change,340.28
MNT-300134,EQ-1070,2024-03-05,Unknown,1798.78
MNT-300135,EQ-1119,2024-01-21,Hydraulic Repair,475.88
MNT-300136,EQ-1142,2023-01-11,Routine Service,2965.37
MNT-300137,EQ-1128,2023-10-29,Oil Change,600.09
MNT-300138,EQ-1147,2024-02-19,Routine Service,2862.8
MNT-300139,EQ-1064,2024-04-22,Tire Replacement,170.98
MNT-300140,EQ-1106,2024-02-04,Oil Change,368.82
MNT-300141,EQ-1004,2023-11-06,Hydraulic Repair,3192.58
MNT-300142,EQ-1098,2023-09-27,Routine Service,959.17
MNT-300143,EQ-1019,2023-06-23,Engine Overhaul,2967.82
MNT-300144,EQ-1066,2023-10-27,Engine Overhaul,1858.84
MNT-300145,EQ-1039,2024-02-03,Oil Change,2989.58
MNT-300146,EQ-1062,2023-05-22,Hydraulic Repair,668.4
MNT-300147,EQ-1109,2023-03-27,Filter Change,3144.75
MNT-300148,EQ-1059,2023-10-20,Oil Change,665.73
MNT-300149,EQ-1113,2024-03-14,Engine Overhaul,1798.78
MNT-300150,EQ-1034,2023-12-12,Routine Service,1075.19
MNT-300151,EQ-1010,2023-01-07,Engine Overhaul,1307.15
MNT-300152,EQ-1073,2023-01-05,Oil Change,2626.25
MNT-300153,EQ-1097,2023-12-09,Hydraulic Repair,319.62
MNT-300154,EQ-1037,2023-09-05,Brake Check,846.65
MNT-300155,EQ-1147,2023-02-27,Engine Overhaul,1203.25
MNT-300156,EQ-1085,2023-08-11,Routine Service,766.95
MNT-300157,EQ-1007,2023-02-07,Oil Change,843.72
MNT-300158,EQ-1143,2023-04-04,Routine Service,2086.55
MNT-300159,EQ-1035,2024-05-06,Engine Overhaul,784.63
MNT-300160,EQ-1069,2024-05-08,Hydraulic Repair,179.4
MNT-300161,EQ-1011,2023-07-13,Oil Change,3268.72
MNT-300162,EQ-1073,2024-01-31,Routine Service,3373.44
MNT-300163,EQ-1077,2023-06-09,Oil Change,1674.46
MNT-300164,EQ-1124,2023-12-06,Brake Check,271.06
MNT-300165,EQ-1035,2023-09-27,Filter Change,3452.99
MNT-300166,EQ-1032,2024-04-11,Filter Change,1215.04
MNT-300167,EQ-1010,2023-09-01,Brake Check,2880.47
MNT-300168,EQ-1131,2023-03-14,Routine Service,1758.76
MNT-300169,EQ-1148,2023-12-17,Routine Service,134.51
MNT-300170,EQ-1000,2024-03-28,Hydraulic Repair,3171.12
MNT-300171,EQ-1123,2023-08-31,Engine Overhaul,2559.05
MNT-300172,EQ-1065,2024-04-07,Hydraulic Repair,556.77
MNT-300173,EQ-1039,2024-03-03,Filter Change,1482.59
MNT-300174,EQ-1133,2023-11-07,Brake Check,2016.79
MNT-300175,EQ-1149,2024-02-19,Filter Change,2958.88
MNT-300176,EQ-1128,2024-03-21,Tire Replacement,3117.1
MNT-300177,EQ-1092,2023-08-31,Filter Change,778.6
MNT-300178,EQ-1021,2023-06-11,Brake Check,1324.55
MNT-300179,EQ-1117,2023-10-31,Routine Service,1184.52
MNT-300180,EQ-1030,2023-01-13,Unknown,1662.14
MNT-300181,EQ-1016,2023-04-02,Oil Change,1720.94
MNT-300182,EQ-1145,2023-12-23,Tire Replacement,2493.56
MNT-300183,EQ-1037,2024-02-15,Oil Change,3417.01
MNT-300184,EQ-1126,2024-03-12,Routine Service,1876.26
MNT-300185,EQ-1147,2024-03-15,Routine Service,2561.93
MNT-300186,EQ-1060,2024-02-13,Filter Change,2362.33
MNT-300187,EQ-1026,2024-02-07,Filter Change,879.99
MNT-300188,EQ-1045,2024-04-27,Engine Overhaul,1466.18
MNT-300189,EQ-1009,2023-02-16,Oil Change,1437.29
MNT-300190,EQ-1135,2023-09-24,Engine Overhaul,3206.76
MNT-300191,EQ-1147,2024-02-27,Engine Overhaul,808.13
MNT-300192,EQ-1141,2023-04-07,Brake Check,227.89
MNT-300193,EQ-1107,2023-02-10,Oil Change,1478.73
MNT-300194,EQ-1123,2023-03-15,Oil Change,178.7
MNT-300195,EQ-1053,2023-12-05,Filter Change,1090.29
MNT-300196,EQ-1113,2023-02-10,Hydraulic Repair,2292.62
MNT-300197,EQ-1012,2023-11-15,Engine Overhaul,234.93
MNT-300198,EQ-1133,2023-04-19,Hydraulic Repair,3193.07
MNT-300199,EQ-1049,2024-05-14,Tire Replacement,3035.6
MNT-300200,EQ-1122,2024-02-13,Oil Change,1904.57
MNT-300201,EQ-1092,2024-03-20,Brake Check,2396.2
MNT-300202,EQ-1095,2024-05-14,Routine Service,1839.52
MNT-300203,EQ-1066,2024-04-18,Tire Replacement,2055.45
MNT-300204,EQ-1029,2023-07-06,Hydraulic Repair,936.71
MNT-300205,EQ-1104,2023-02-15,Tire Replacement,1798.78
MNT-300206,EQ-1077,2024-04-15,Oil Change,762.04
MNT-300207,EQ-1091,2023-04-24,Oil Change,2561.12
MNT-300208,EQ-1050,2023-11-02,Routine Service,3441.06
MNT-300209,EQ-1083,2024-02-22,Routine Service,2509.19
MNT-300210,EQ-1075,2024-03-11,Tire Replacement,583.27
MNT-300211,EQ-1092,2023-10-18,Engine Overhaul,1509.58
MNT-300212,EQ-1012,2023-08-17,Filter Change,245.17
MNT-300213,EQ-1005,2024-04-24,Filter Change,890.85
MNT-300214,EQ-1001,2023-04-25,Engine Overhaul,642.4
MNT-300215,EQ-1090,2023-12-30,Engine Overhaul,2550.56
MNT-300216,EQ-1066,2023-06-13,Hydraulic Repair,1238.9
MNT-300217,EQ-1009,2024-02-09,Hydraulic Repair,3099.69
MNT-300218,EQ-1044,2023-02-11,Engine Overhaul,662.0
MNT-300219,EQ-1080,2023-10-26,Engine Overhaul,3363.42
MNT-300220,EQ-1124,2023-03-15,Tire Replacement,840.44
MNT-300221,EQ-1109,2024-01-06,Brake Check,1798.78
MNT-300222,EQ-1097,2023-12-24,Hydraulic Repair,2073.74
MNT-300223,EQ-1020,2023-01-03,Routine Service,204.89
MNT-300224,EQ-1117,2023-02-05,Routine Service,1904.75
MNT-300225,EQ-1019,2023-07-31,Filter Change,2450.47
MNT-300226,EQ-1087,2023-10-22,Tire Replacement,2345.91
MNT-300227,EQ-1093,2023-11-26,Brake Check,310.69
MNT-300228,EQ-1043,2023-10-13,Oil Change,612.78
MNT-300229,EQ-1070,2023-11-24,Routine Service,1185.42
MNT-300230,EQ-1043,2024-01-02,Tire Replacement,279.61
MNT-300231,EQ-1106,2023-05-15,Hydraulic Repair,2227.76
MNT-300232,EQ-1114,2023-12-03,Tire Replacement,3177.32
MNT-300233,EQ-1047,2023-05-18,Tire Replacement,2439.41
MNT-300234,EQ-1043,2024-05-01,Tire Replacement,2710.33
MNT-300235,EQ-1144,2023-10-23,Routine Service,2515.49
MNT-300236,EQ-1096,2023-10-19,Engine Overhaul,215.38
MNT-300237,EQ-1079,2023-08-17,Filter Change,1078.69
MNT-300238,EQ-1069,2023-06-07,Tire Replacement,1936.43
MNT-300239,EQ-1131,2024-04-01,Oil Change,2895.45
MNT-300240,EQ-1096,2023-07-22,Brake Check,323.02
MNT-300241,EQ-1137,2023-04-04,Engine Overhaul,3032.53
MNT-300242,EQ-1028,2023-05-03,Brake Check,1798.78
MNT-300243,EQ-1109,2023-01-10,Engine Overhaul,878.1
MNT-300244,EQ-1105,2023-07-02,Routine Service,1035.19
MNT-300245,EQ-1015,2023-06-01,Routine Service,810.16
MNT-300246,EQ-1024,2024-03-30,Routine Service,2197.53
MNT-300247,EQ-1029,2023-04-13,Hydraulic Repair,2219.68
MNT-300248,EQ-1133,2023-07-13,Oil Change,204.15
MNT-300249,EQ-1038,2023-01-23,Filter Change,1474.51
MNT-300250,EQ-1076,2023-09-10,Hydraulic Repair,2475.84
MNT-300251,EQ-1068,2023-05-08,Routine Service,540.13
MNT-300252,EQ-1077,2023-03-02,Brake Check,2862.82
MNT-300253,EQ-1031,2023-09-16,Routine Service,2302.27
MNT-300254,EQ-1010,2023-11-14,Engine Overhaul,321.95
MNT-300255,EQ-1104,2024-03-18,Oil Change,3044.53
MNT-300256,EQ-1044,2024-03-17,Routine Service,3113.21
MNT-300257,EQ-1133,2024-03-05,Brake Check,1798.78
MNT-300258,EQ-1127,2023-05-31,Tire Replacement,3119.62
MNT-300259,EQ-1104,2023-03-13,Filter Change,1189.22
MNT-300260,EQ-1034,2023-09-19,Oil Change,187.4
MNT-300261,EQ-1145,2023-02-27,Engine Overhaul,1727.04
MNT-300262,EQ-1005,2024-03-17,Engine Overhaul,2013.19
MNT-300263,EQ-1105,2024-02-14,Filter Change,1798.78
MNT-300264,EQ-1054,2024-04-08,Oil Change,2616.99
MNT-300265,EQ-1035,2023-11-11,Hydraulic Repair,902.51
MNT-300266,EQ-1028,2023-09-22,Oil Change,932.06
MNT-300267,EQ-1002,2023-11-11,Tire Replacement,1798.78
MNT-300268,EQ-1075,2024-04-25,Filter Change,1793.0
MNT-300269,EQ-1059,2024-05-05,Tire Replacement,1248.74
MNT-300270,EQ-1060,2024-03-16,Oil Change,1294.58
MNT-300271,EQ-1065,2023-11-23,Unknown,2324.8
MNT-300272,EQ-1062,2024-04-10,Engine Overhaul,2409.86
MNT-300273,EQ-1063,2023-04-11,Oil Change,1436.98
MNT-300274,EQ-1134,2024-01-31,Oil Change,2586.53
MNT-300275,EQ-1005,2023-03-24,Oil Change,404.04
MNT-300276,EQ-1045,2023-08-31,Routine Service,1438.43
MNT-300277,EQ-1064,2024-01-21,Oil Change,3391.76
MNT-300278,EQ-1123,2024-02-10,Hydraulic Repair,680.23
MNT-300279,EQ-1128,2023-07-02,Routine Service,2706.53
MNT-300280,EQ-1013,2024-01-14,Tire Replacement,1531.65
MNT-300281,EQ-1101,2024-05-01,Filter Change,3251.9
MNT-300282,EQ-1127,2023-01-07,Brake Check,1189.66
MNT-300283,EQ-1078,2023-07-02,Oil Change,1027.9
MNT-300284,EQ-1022,2024-03-04,Engine Overhaul,1929.54
MNT-300285,EQ-1019,2024-05-12,Routine Service,524.84
MNT-300286,EQ-1142,2023-03-29,Oil Change,318.59
MNT-300287,EQ-1008,2023-02-13,Routine Service,2062.2
MNT-300288,EQ-1088,2023-01-18,Brake Check,680.27
MNT-300289,EQ-1138,2023-02-22,Oil Change,2545.13
MNT-300290,EQ-1008,2023-11-29,Routine Service,1798.78
MNT-300291,EQ-1101,2023-12-25,Oil Change,2068.49
MNT-300292,EQ-1036,2023-07-24,Brake Check,1182.64
MNT-300293,EQ-1095,2024-03-05,Oil Change,1994.5
MNT-300294,EQ-1080,2024-04-23,Oil Change,1796.02
MNT-300295,EQ-1038,2023-01-25,Routine Service,1403.77
MNT-300296,EQ-1005,2023-03-13,Oil Change,1583.62
MNT-300297,EQ-1117,2024-03-25,Brake Check,701.0
MNT-300298,EQ-1033,2023-10-24,Hydraulic Repair,1617.78
MNT-300299,EQ-1088,2024-03-02,Filter Change,3009.33
MNT-300300,EQ-1059,2023-02-23,Tire Replacement,1402.01
MNT-300301,EQ-1097,2023-08-16,Routine Service,2849.79
MNT-300302,EQ-1051,2023-06-21,Tire Replacement,3405.64
MNT-300303,EQ-1143,2023-07-23,Tire Replacement,1923.67
MNT-300304,EQ-1149,2023-04-13,Brake Check,2897.02
MNT-300305,EQ-1087,2023-11-07,Brake Check,545.79
MNT-300306,EQ-1090,2024-05-09,Routine Service,2755.81
MNT-300307,EQ-1133,2024-01-15,Filter Change,1798.78
MNT-300308,EQ-1052,2024-03-13,Oil Change,1684.14
MNT-300309,EQ-1141,2023-06-22,Brake Check,2090.23
MNT-300310,EQ-1088,2023-05-07,Oil Change,728.04
MNT-300311,EQ-1055,2024-03-26,Filter Change,715.6
MNT-300312,EQ-1139,2023-06-15,General Maintenance,629.42
MNT-300313,EQ-1001,2023-07-23,Filter Change,1145.89
MNT-300314,EQ-1087,2023-07-09,Engine Overhaul,142.16
MNT-300315,EQ-1104,2023-01-01,Hydraulic Repair,1043.92
MNT-300316,EQ-1122,2023-09-18,Brake Check,3164.44
MNT-300317,EQ-1059,2023-09-03,Engine Overhaul,2505.87
MNT-300318,EQ-1092,2023-09-08,Filter Change,1575.08
MNT-300319,EQ-1038,2023-11-16,Engine Overhaul,2202.62
MNT-300320,EQ-1148,2023-12-02,Tire Replacement,1702.94
MNT-300321,EQ-1127,2023-12-20,Oil Change,427.16
MNT-300322,EQ-1134,2023-08-05,Brake Check,2021.35
MNT-300323,EQ-1100,2023-03-02,Oil Change,2334.69
MNT-300324,EQ-1110,2023-01-08,Routine Service,3324.56
MNT-300325,EQ-1093,2024-01-13,Filter Change,3496.44
MNT-300326,EQ-1027,2023-01-01,General Maintenance,1798.78
MNT-300327,EQ-1114,2023-11-18,Engine Overhaul,2432.14
MNT-300328,EQ-1093,2023-04-24,General Maintenance,1054.67
MNT-300329,EQ-1092,2023-03-21,Filter Change,2617.38
MNT-300330,EQ-1036,2023-10-03,Engine Overhaul,2170.9
MNT-300331,EQ-1075,2023-05-04,Tire Replacement,2665.97
MNT-300332,EQ-1014,2023-10-04,Filter Change,2720.31
MNT-300333,EQ-1116,2024-05-13,Engine Overhaul,160.57
MNT-300334,EQ-1041,2024-05-11,Brake Check,1593.9
MNT-300335,EQ-1087,2023-12-17,Hydraulic Repair,1875.19
MNT-300336,EQ-1065,2023-03-08,Hydraulic Repair,2959.58
MNT-300337,EQ-1137,2023-10-01,Engine Overhaul,3251.88
MNT-300338,EQ-1041,2024-01-20,Oil Change,2745.84
MNT-300339,EQ-1109,2023-06-28,Engine Overhaul,1166.34
MNT-300340,EQ-1137,2023-05-27,Routine Service,691.83
MNT-300341,EQ-1090,2023-02-22,Filter Change,2916.02
MNT-300342,EQ-1016,2023-11-05,Oil Change,614.74
MNT-300343,EQ-1003,2024-01-25,Oil Change,461.38
MNT-300344,EQ-1093,2023-12-18,Routine Service,363.39
MNT-300345,EQ-1128,2024-05-12,Brake Check,326.99
MNT-300346,EQ-1111,2023-05-07,Hydraulic Repair,1921.9
MNT-300347,EQ-1137,2023-12-22,Tire Replacement,1197.49
MNT-300348,EQ-1076,2024-01-30,Hydraulic Repair,106.42
MNT-300349,EQ-1145,2024-02-27,Brake Check,2750.9
MNT-300350,EQ-1099,2024-04-23,Hydraulic Repair,1798.78
MNT-300351,EQ-1047,2023-02-25,Hydraulic Repair,510.41
MNT-300352,EQ-1066,2023-04-13,Hydraulic Repair,3220.03
MNT-300353,EQ-1123,2023-03-23,Engine Overhaul,507.78
MNT-300354,EQ-1089,2023-10-11,Tire Replacement,522.42
MNT-300355,EQ-1046,2023-10-27,Routine Service,133.66
MNT-300356,EQ-1027,2023-01-29,Engine Overhaul,2081.47
MNT-300357,EQ-1010,2023-01-07,Filter Change,2080.62
MNT-300358,EQ-1114,2024-01-04,Oil Change,1993.25
MNT-300359,EQ-1078,2023-01-01,Tire Replacement,1798.78
MNT-300360,EQ-1000,2023-08-20,Filter Change,323.15
MNT-300361,EQ-1136,2024-04-24,Engine Overhaul,2122.72
MNT-300362,EQ-1012,2023-04-08,Routine Service,1953.97
MNT-300363,EQ-1128,2024-01-13,Routine Service,957.33
MNT-300364,EQ-1102,2023-12-10,Oil Change,2895.52
MNT-300365,EQ-1120,2023-05-29,Oil Change,2117.94
MNT-300366,EQ-1130,2023-04-24,Oil Change,1192.26
MNT-300367,EQ-1130,2023-03-24,Engine Overhaul,407.98
MNT-300368,EQ-1009,2023-02-05,Engine Overhaul,1405.4
MNT-300369,EQ-1131,2024-02-01,Hydraulic Repair,688.37
MNT-300370,EQ-1087,2023-08-04,Tire Replacement,752.84
MNT-300371,EQ-1025,2023-05-25,Oil Change,2094.05
MNT-300372,EQ-1142,2023-10-06,Oil Change,3395.03
MNT-300373,EQ-1018,2024-04-18,Filter Change,2256.25
MNT-300374,EQ-1074,2024-03-23,Filter Change,243.86
MNT-300375,EQ-1131,2023-09-27,Hydraulic Repair,1067.98
MNT-300376,EQ-1025,2024-02-21,Tire Replacement,298.69
MNT-300377,EQ-1120,2023-08-23,Tire Replacement,3465.07
MNT-300378,EQ-1100,2023-07-07,Hydraulic Repair,191.2
MNT-300379,EQ-1037,2023-04-12,Brake Check,383.35
MNT-300380,EQ-1008,2023-08-30,Filter Change,587.19
MNT-300381,EQ-1005,2023-06-12,Oil Change,2872.79
MNT-300382,EQ-1048,2023-08-15,Engine Overhaul,3130.4
MNT-300383,EQ-1125,2023-12-25,Engine Overhaul,2178.03
MNT-300384,EQ-1015,2024-01-03,Filter Change,1798.78
MNT-300385,EQ-1138,2024-03-20,Brake Check,2740.23
MNT-300386,EQ-1082,2023-11-09,Brake Check,2406.73
MNT-300387,EQ-1044,2023-09-21,Brake Check,2754.84
MNT-300388,EQ-1118,2023-08-11,Tire Replacement,2812.88
MNT-300389,EQ-1058,2024-05-11,Engine Overhaul,3385.06
MNT-300390,EQ-1134,2023-08-09,Oil Change,385.27
MNT-300391,EQ-1101,2023-03-02,Brake Check,1909.54
MNT-300392,EQ-1005,2023-06-22,Unknown,3105.02
MNT-300393,EQ-1003,2024-05-04,Tire Replacement,332.79
MNT-300394,EQ-1024,2023-12-24,Oil Change,1798.78
MNT-300395,EQ-1110,2023-08-20,Unknown,1680.4
MNT-300396,EQ-1008,2023-09-17,Engine Overhaul,1120.52
MNT-300397,EQ-1104,2024-02-09,Engine Overhaul,3399.49
MNT-300398,EQ-1011,2023-11-25,Hydraulic Repair,418.39
MNT-300399,EQ-1140,2024-03-04,Engine Overhaul,1947.31
MNT-300400,EQ-1055,2024-01-16,Tire Replacement,354.86
MNT-300401,EQ-1129,2024-02-06,Hydraulic Repair,324.57
MNT-300402,EQ-1032,2023-07-05,Routine Service,363.46
MNT-300403,EQ-1075,2024-03-14,Filter Change,705.12
MNT-300404,EQ-1116,2023-06-13,Hydraulic Repair,3178.75
MNT-300405,EQ-1028,2024-01-10,Routine Service,1406.2
MNT-300406,EQ-1000,2024-04-17,Hydraulic Repair,2417.51
MNT-300407,EQ-1106,2023-02-08,Routine Service,1845.01
MNT-300408,EQ-1093,2023-07-25,Routine Service,1798.78
MNT-300409,EQ-1051,2023-06-02,Routine Service,750.63
MNT-300410,EQ-1087,2023-04-18,Engine Overhaul,1717.65
MNT-300411,EQ-1033,2023-03-15,Oil Change,1803.4
MNT-300412,EQ-1021,2023-07-04,Filter Change,3450.23
MNT-300413,EQ-1144,2024-01-22,Engine Overhaul,2393.89
MNT-300414,EQ-1133,2023-12-01,Engine Overhaul,3052.05
MNT-300415,EQ-1037,2023-10-04,Engine Overhaul,1399.3
MNT-300416,EQ-1139,2023-03-10,Routine Service,2666.27
MNT-300417,EQ-1047,2023-11-10,Engine Overhaul,2414.12
MNT-300418,EQ-1131,2024-02-21,Routine Service,2816.56
MNT-300419,EQ-1071,2023-12-07,Filter Change,3407.71
MNT-300420,EQ-1024,2023-12-21,Brake Check,1885.18
MNT-300421,EQ-1043,2023-10-28,Oil Change,2916.03
MNT-300422,EQ-1011,2023-11-27,Oil Change,811.61
MNT-300423,EQ-1023,2023-03-20,Brake Check,2858.37
MNT-300424,EQ-1075,2023-04-09,Brake Check,2507.89
