Lease_ID,Equipment_ID,Lessee_Farm_ID,Lease_Date
LSE-400260,EQ-1096,FARM-245,2023-07-15
LSE-400261,EQ-1130,FARM-205,2023-11-29
LSE-400262,EQ-1001,FARM-213,2023-10-24
LSE-400263,EQ-1027,FARM-250,2023-04-05
LSE-400264,EQ-1071,FARM-240,2023-09-11
LSE-400265,EQ-1075,FARM-237,2023-11-18
LSE-400266,EQ-1079,FARM-204,2023-01-30
LSE-400267,EQ-1124,FARM-217,2024-01-10
LSE-400268,EQ-1116,FARM-216,2024-01-25
LSE-400269,EQ-1133,FARM-224,2023-01-24
LSE-400270,EQ-1121,FARM-235,2023-10-15
LSE-400271,EQ-1098,FARM-244,2023-08-04
LSE-400272,EQ-1042,FARM-249,2024-05-14
LSE-400273,EQ-1038,FARM-236,2024-02-11
LSE-400274,EQ-1033,FARM-229,2023-11-23
LSE-400275,EQ-1009,FARM-225,2023-06-09
LSE-400276,EQ-1136,FARM-GENERIC,2023-08-17
LSE-400278,EQ-1048,FARM-202,2024-02-19
LSE-400279,EQ-1092,FARM-242,2023-09-30
LSE-400280,EQ-1048,FARM-GENERIC,2024-01-15
LSE-400281,EQ-1009,FARM-250,2024-01-30
LSE-400282,EQ-1055,FARM-225,2023-06-22
LSE-400283,EQ-1125,FARM-222,2023-05-23
LSE-400284,EQ-1067,FARM-246,2023-12-16
LSE-400285,EQ-1111,FARM-201,2023-08-02
LSE-400286,EQ-1064,FARM-213,2024-02-02
LSE-400287,EQ-1109,FARM-238,2023-12-19
LSE-400288,EQ-1026,FARM-222,2023-03-08
LSE-400289,EQ-1146,FARM-226,2023-02-10
LSE-400290,EQ-1009,FARM-233,2023-09-26
LSE-400291,EQ-1028,FARM-236,2023-09-19
LSE-400292,EQ-1003,FARM-244,2023-10-29
LSE-400293,EQ-1094,FARM-220,2023-09-05
LSE-400294,EQ-1054,FARM-203,2024-01-24
LSE-400295,EQ-1073,FARM-201,2023-10-28
LSE-400296,EQ-1049,FARM-203,2023-09-17
LSE-400297,EQ-1111,FARM-227,2023-08-04
LSE-400298,EQ-1009,FARM-222,2023-06-08
LSE-400299,EQ-1148,FARM-237,2023-07-24
LSE-400300,EQ-1011,FARM-228,2023-11-02
LSE-400301,EQ-1120,FARM-GENERIC,2023-04-25
LSE-400302,EQ-1039,FARM-243,2023-12-01
LSE-400303,EQ-1040,FARM-232,2023-12-22
LSE-400304,EQ-1007,FARM-227,2023-10-16
LSE-400305,EQ-1018,FARM-232,2023-02-11
LSE-400306,EQ-1141,FARM-233,2023-03-07
LSE-400307,EQ-1030,FARM-229,2023-03-16
LSE-400308,EQ-1052,FARM-209,2024-03-30
LSE-400309,EQ-1139,FARM-203,2023-01-11
LSE-400310,EQ-1085,FARM-239,2024-03-26
LSE-400311,EQ-1133,FARM-241,2023-12-20
LSE-400312,EQ-1090,FARM-202,2023-04-22
LSE-400313,EQ-1007,FARM-224,2023-08-23
LSE-400314,EQ-1068,FARM-208,2024-05-09
LSE-400315,EQ-1046,FARM-225,2023-11-06
LSE-400316,EQ-1044,FARM-248,2023-01-03
LSE-400317,EQ-1072,FARM-246,2023-11-25
LSE-400318,EQ-1142,FARM-204,2023-03-18
LSE-400319,EQ-1055,FARM-237,2023-09-14
LSE-400320,EQ-1121,FARM-231,2024-03-14
LSE-400321,EQ-1130,FARM-214,2023-11-20
LSE-400322,EQ-1087,FARM-206,2023-12-26
LSE-400323,EQ-1008,FARM-240,2023-11-25
LSE-400324,EQ-1004,FARM-217,2023-09-14
LSE-400325,EQ-1137,FARM-207,2023-10-08
LSE-400326,EQ-1018,FARM-209,2024-05-10
LSE-400327,EQ-1035,FARM-222,2023-01-21
LSE-400328,EQ-1142,FARM-242,2024-03-11
LSE-400329,EQ-1065,FARM-245,2023-11-27
LSE-400330,EQ-1107,FARM-241,2023-10-13
LSE-400331,EQ-1055,FARM-206,2023-06-08
LSE-400332,EQ-1124,FARM-250,2023-01-04
LSE-400333,EQ-1020,FARM-207,2023-07-06
LSE-400334,EQ-1149,FARM-222,2023-06-10
LSE-400335,EQ-1021,FARM-235,2023-02-20
LSE-400336,EQ-1034,FARM-219,2024-03-01
LSE-400337,EQ-1142,FARM-204,2023-08-19
LSE-400338,EQ-1012,FARM-232,2023-01-28
LSE-400339,EQ-1005,FARM-237,2023-10-15
LSE-400340,EQ-1045,FARM-212,2023-09-27
LSE-400341,EQ-1001,FARM-209,2023-03-02
LSE-400342,EQ-1038,FARM-213,2023-05-18
LSE-400343,EQ-1031,FARM-230,2023-12-30
LSE-400344,EQ-1060,FARM-209,2024-03-27
LSE-400345,EQ-1023,FARM-229,2023-08-20
LSE-400346,EQ-1010,FARM-226,2023-06-06
LSE-400347,EQ-1127,FARM-GENERIC,2023-03-08
LSE-400348,EQ-1122,FARM-208,2024-03-01
LSE-400349,EQ-1133,FARM-230,2023-01-20
LSE-400350,EQ-1135,FARM-246,2023-05-16
LSE-400351,EQ-1104,FARM-243,2023-08-27
LSE-400352,EQ-1054,FARM-208,2024-01-19
LSE-400353,EQ-1025,FARM-246,2023-11-09
LSE-400354,EQ-1053,FARM-212,2023-04-01
LSE-400355,EQ-1126,FARM-250,2023-12-07
LSE-400356,EQ-1010,FARM-GENERIC,2023-06-30
LSE-400357,EQ-1112,FARM-208,2023-07-04
LSE-400358,EQ-1053,FARM-225,2023-09-30
LSE-400359,EQ-1134,FARM-243,2023-02-01
LSE-400360,EQ-1125,FARM-250,2023-04-16
LSE-400361,EQ-1012,FARM-GENERIC,2023-07-04
LSE-400362,EQ-1054,FARM-209,2024-01-14
LSE-400363,EQ-1015,FARM-223,2023-08-01
LSE-400364,EQ-1113,FARM-210,2023-03-08
LSE-400365,EQ-1006,FARM-238,2024-02-03
LSE-400366,EQ-1040,FARM-243,2023-11-29
LSE-400367,EQ-1086,FARM-235,2024-04-03
LSE-400368,EQ-1109,FARM-201,2023-05-28
LSE-400370,EQ-1126,FARM-230,2023-03-29
LSE-400371,EQ-1037,FARM-233,2023-08-22
LSE-400372,EQ-1091,FARM-215,2024-02-12
LSE-400373,EQ-1037,FARM-245,2023-09-29
LSE-400374,EQ-1138,FARM-224,2024-02-18
LSE-400375,EQ-1015,FARM-209,2024-01-02
LSE-400376,EQ-1149,FARM-245,2023-10-11
LSE-400378,EQ-1107,FARM-228,2023-06-02
LSE-400379,EQ-1140,FARM-221,2023-12-17
LSE-400380,EQ-1136,FARM-237,2023-07-08
LSE-400381,EQ-1071,FARM-223,2023-04-14
LSE-400382,EQ-1134,FARM-248,2023-07-07
LSE-400383,EQ-1031,FARM-205,2024-04-14
LSE-400384,EQ-1094,FARM-223,2023-11-01
LSE-400385,EQ-1071,FARM-212,2023-03-29
LSE-400386,EQ-1070,FARM-207,2023-05-06
LSE-400387,EQ-1042,FARM-233,2023-11-11
LSE-400388,EQ-1054,FARM-225,2023-06-12
LSE-400389,EQ-1082,FARM-246,2023-05-22
LSE-400390,EQ-1001,FARM-215,2023-06-28
LSE-400391,EQ-1126,FARM-213,2023-10-22
LSE-400392,EQ-1066,FARM-205,2023-09-03
LSE-400393,EQ-1086,FARM-GENERIC,2024-05-11
LSE-400394,EQ-1067,FARM-238,2023-02-19
LSE-400395,EQ-1033,FARM-224,2024-03-30
LSE-400396,EQ-1049,FARM-231,2023-01-16
LSE-400397,EQ-1144,FARM-246,2023-09-23
LSE-400398,EQ-1038,FARM-246,2023-08-11
LSE-400399,EQ-1121,FARM-214,2023-10-11
LSE-400401,EQ-1040,FARM-241,2024-05-14
LSE-400402,EQ-1022,FARM-214,2024-03-23
LSE-400403,EQ-1110,FARM-238,2023-01-21
LSE-400404,EQ-1048,FARM-227,2023-05-06
LSE-400405,EQ-1123,FARM-250,2023-06-02
LSE-400406,EQ-1102,FARM-204,2023-01-20
LSE-400407,EQ-1038,FARM-244,2023-06-03
LSE-400408,EQ-1072,FARM-218,2023-11-27
LSE-400409,EQ-1133,FARM-235,2023-03-22
LSE-400410,EQ-1033,FARM-213,2023-11-21
LSE-400411,EQ-1066,FARM-235,2023-12-28
LSE-400413,EQ-1053,FARM-207,2023-06-03
LSE-400414,EQ-1132,FARM-GENERIC,2023-09-25
LSE-400415,EQ-1120,FARM-220,2023-09-08
LSE-400416,EQ-1101,FARM-228,2023-11-16
LSE-400417,EQ-1053,FARM-219,2023-05-24
LSE-400418,EQ-1097,FARM-219,2023-08-26
LSE-400419,EQ-1108,FARM-221,2023-12-17
LSE-400420,EQ-1094,FARM-GENERIC,2023-07-20
LSE-400421,EQ-1045,FARM-213,2023-04-14
LSE-400422,EQ-1035,FARM-221,2023-02-25
LSE-400423,EQ-1031,FARM-215,2023-12-27
LSE-400424,EQ-1106,FARM-235,2024-05-15
LSE-400425,EQ-1046,FARM-239,2023-03-13
LSE-400426,EQ-1061,FARM-217,2024-02-22
LSE-400427,EQ-1009,FARM-232,2024-01-17
LSE-400428,EQ-1022,FARM-223,2023-02-14
LSE-400429,EQ-1140,FARM-247,2023-07-16
LSE-400430,EQ-1009,FARM-201,2023-09-16
LSE-400431,EQ-1017,FARM-213,2024-01-13
LSE-400432,EQ-1020,FARM-207,2024-03-07
LSE-400433,EQ-1136,FARM-245,2023-04-02
LSE-400434,EQ-1139,FARM-246,2023-06-05
LSE-400435,EQ-1128,FARM-209,2023-09-09
LSE-400436,EQ-1133,FARM-225,2023-07-01
LSE-400437,EQ-1136,FARM-248,2024-01-11
LSE-400438,EQ-1045,FARM-244,2023-01-30
LSE-400439,EQ-1046,FARM-218,2024-01-25
LSE-400440,EQ-1003,FARM-213,2023-11-17
LSE-400441,EQ-1011,FARM-231,2024-04-30
LSE-400442,EQ-1088,FARM-239,2024-01-17
LSE-400443,EQ-1088,FARM-205,2023-03-09
LSE-400444,EQ-1045,FARM-247,2024-05-12
LSE-400445,EQ-1107,FARM-242,2023-10-28
LSE-400446,EQ-1036,FARM-246,2023-10-09
LSE-400447,EQ-1023,FARM-204,2023-12-23
LSE-400448,EQ-1114,FARM-206,2024-03-02
LSE-400449,EQ-1088,FARM-227,2023-04-24
LSE-400450,EQ-1010,FARM-241,2024-02-01
LSE-400451,EQ-1127,FARM-225,2023-11-26
LSE-400452,EQ-1044,FARM-210,2024-03-15
LSE-400453,EQ-1008,FARM-243,2024-04-17
LSE-400454,EQ-1048,FARM-210,2023-10-09
LSE-400455,EQ-1010,FARM-220,2023-10-21
LSE-400456,EQ-1013,FARM-227,2023-10-17
LSE-400457,EQ-1051,FARM-230,2023-03-12
LSE-400458,EQ-1110,FARM-228,2024-01-26
LSE-400459,EQ-1030,FARM-248,2023-07-10
LSE-400460,EQ-1041,FARM-212,2023-05-19
LSE-400461,EQ-1041,FARM-224,2024-02-20
LSE-400462,EQ-1106,FARM-239,2023-11-07
LSE-400463,EQ-1094,FARM-243,2023-05-30
LSE-400464,EQ-1008,FARM-233,2023-02-25
LSE-400465,EQ-1058,FARM-202,2023-01-20
LSE-400466,EQ-1085,FARM-236,2023-11-19
LSE-400467,EQ-1028,FARM-207,2024-03-14
LSE-400468,EQ-1056,FARM-220,2024-01-23
LSE-400469,EQ-1035,FARM-217,2023-10-22
LSE-400470,EQ-1086,FARM-248,2023-07-18
LSE-400472,EQ-1049,FARM-233,2023-08-24
LSE-400473,EQ-1107,FARM-208,2024-03-02
LSE-400474,EQ-1023,FARM-212,2023-11-07
LSE-400475,EQ-1147,FARM-201,2023-06-01
LSE-400476,EQ-1122,FARM-209,2024-05-06
LSE-400477,EQ-1126,FARM-223,2023-01-16
LSE-400478,EQ-1117,FARM-213,2023-05-05
LSE-400479,EQ-1089,FARM-220,2023-11-12
LSE-400480,EQ-1105,FARM-212,2024-05-03
LSE-400481,EQ-1115,FARM-243,2023-08-26
LSE-400482,EQ-1043,FARM-205,2023-11-23
LSE-400483,EQ-1098,FARM-229,2024-03-30
LSE-400484,EQ-1037,FARM-225,2023-06-11
LSE-400485,EQ-1051,FARM-229,2023-03-28
LSE-400486,EQ-1080,FARM-205,2024-02-16
LSE-400487,EQ-1016,FARM-221,2023-02-05
LSE-400488,EQ-1037,FARM-229,2023-04-29
LSE-400489,EQ-1086,FARM-204,2023-04-06
LSE-400490,EQ-1124,FARM-209,2023-02-14
LSE-400491,EQ-1133,FARM-209,2023-04-23
LSE-400492,EQ-1038,FARM-217,2023-03-09
LSE-400493,EQ-1075,FARM-217,2024-01-14
LSE-400494,EQ-1014,FARM-229,2023-03-03
LSE-400495,EQ-1061,FARM-202,2023-03-22
LSE-400496,EQ-1003,FARM-201,2024-02-15
LSE-400497,EQ-1057,FARM-210,2023-05-26
LSE-400498,EQ-1070,FARM-218,2024-03-28
LSE-400499,EQ-1086,FARM-207,2023-04-12
LSE-400500,EQ-1072,FARM-241,2023-10-06
LSE-400502,EQ-1091,FARM-230,2024-01-15
LSE-400503,EQ-1039,FARM-237,2023-11-29
LSE-400504,EQ-1058,FARM-204,2024-05-01
LSE-400505,EQ-1041,FARM-213,2023-04-11
LSE-400506,EQ-1035,FARM-206,2023-06-28
LSE-400507,EQ-1132,FARM-212,2024-02-02
LSE-400508,EQ-1012,FARM-206,2023-09-16
LSE-400509,EQ-1096,FARM-211,2023-07-22
LSE-400510,EQ-1098,FARM-204,2023-10-28
LSE-400511,EQ-1112,FARM-209,2023-11-30
LSE-400512,EQ-1141,FARM-220,2023-09-06
LSE-400513,EQ-1013,FARM-212,2024-02-25
LSE-400514,EQ-1050,FARM-201,2023-12-17
LSE-400515,EQ-1058,FARM-233,2023-12-07
LSE-400516,EQ-1094,FARM-224,2023-04-26
LSE-400517,EQ-1088,FARM-247,2024-02-13
LSE-400518,EQ-1060,FARM-230,2024-04-30
LSE-400519,EQ-1137,FARM-222,2023-08-19
LSE-400520,EQ-1106,FARM-201,2024-01-29
LSE-400521,EQ-1096,FARM-250,2023-01-14
LSE-400522,EQ-1144,FARM-241,2023-10-31
LSE-400523,EQ-1112,FARM-GENERIC,2024-03-15
LSE-400524,EQ-1025,FARM-230,2024-01-29
LSE-400525,EQ-1025,FARM-202,2023-06-14
LSE-400526,EQ-1026,FARM-228,2024-05-06
LSE-400527,EQ-1147,FARM-227,2023-07-02
LSE-400528,EQ-1028,FARM-237,2023-09-28
LSE-400529,EQ-1069,FARM-231,2023-02-12
LSE-400530,EQ-1021,FARM-234,2023-02-25
